split,eval_type,refrigerant,n_samples,pct_of_split,mae_m0,r2_m0,mae_thermo,r2_thermo,mae_reduced,r2_reduced,mae_improvement_m0_minus_red,pct_mae_reduction,win_rate_red_vs_m0_pct
B1,raw,R125,33,6.432748538011696,0.016460677696335496,0.9623819897944053,0.028469708231701085,0.8904474654152416,0.028404879205944866,0.8898066200052148,-0.01194420150960937,-72.56202769991911,18.181818181818183
B1,raw,R134a,224,43.66471734892787,0.02923652340375286,0.9243536257138065,0.029283937819335353,0.9286239148437451,0.028261820638519057,0.9345409258950788,0.0009747027652338043,3.3338531800559066,52.67857142857143
B1,raw,R143a,5,0.9746588693957114,0.005294748172163956,-2.0036402569228886,0.006895328983664508,-3.5071702713995423,0.005676875934004766,-2.093323614870307,-0.0003821277618408104,-7.217109282926204,20.0
B1,raw,R152a,53,10.33138401559454,0.06581147637850833,0.7064744354653729,0.0673331821583352,0.6924400981269068,0.06847942565690796,0.6845681888889602,-0.0026679492783996256,-4.053927103922079,49.056603773584904
B1,raw,R161,5,0.9746588693957114,0.0039617156237363865,0.504292637160635,0.003828047662973369,0.3546070348002719,0.004170435965061186,0.1479717270041636,-0.00020872034132479907,-5.268433202884715,60.0
B1,raw,R23,37,7.212475633528265,0.01586737933795194,0.9774386508905762,0.0201083081698901,0.9689631496422214,0.023441698633738465,0.9531226156567728,-0.007574319295786523,-47.73516240120448,43.24324324324324
B1,raw,R32,156,30.409356725146196,0.02251122518896293,0.9689466647757402,0.018535282980435747,0.9786160552705185,0.020353916232498034,0.9705697404543292,0.002157308956464897,9.58325874471998,62.17948717948718
B1,clipped,R125,33,6.432748538011696,0.01651609525028052,0.9623726315154111,0.028469708231701085,0.8904474654152416,0.028404879205944866,0.8898066200052148,-0.011888783955664346,-71.98301884013668,18.181818181818183
B1,clipped,R134a,224,43.66471734892787,0.029264045120050597,0.9243454606947812,0.029283937819335353,0.9286239148437451,0.028261820638519057,0.9345409258950788,0.0010022244815315398,3.4247639976636526,52.67857142857143
B1,clipped,R143a,5,0.9746588693957114,0.005294748172163956,-2.0036402569228886,0.006895328983664508,-3.5071702713995423,0.005676875934004766,-2.093323614870307,-0.0003821277618408104,-7.217109282926204,20.0
B1,clipped,R152a,53,10.33138401559454,0.06581147637850833,0.7064744354653729,0.0673331821583352,0.6924400981269068,0.06847942565690796,0.6845681888889602,-0.0026679492783996256,-4.053927103922079,49.056603773584904
B1,clipped,R161,5,0.9746588693957114,0.0039617156237363865,0.504292637160635,0.003828047662973369,0.3546070348002719,0.004170435965061186,0.1479717270041636,-0.00020872034132479907,-5.268433202884715,60.0
B1,clipped,R23,37,7.212475633528265,0.01586737933795194,0.9774386508905762,0.0201083081698901,0.9689631496422214,0.023441698633738465,0.9531226156567728,-0.007574319295786523,-47.73516240120448,43.24324324324324
B1,clipped,R32,156,30.409356725146196,0.02251122518896293,0.9689466647757402,0.018535282980435747,0.9786160552705185,0.020353916232498034,0.9705697404543292,0.002157308956464897,9.58325874471998,62.17948717948718
B2,raw,R125,80,13.377926421404682,0.10510469104978257,-0.2254062983992542,0.09560267768916675,-0.005940360679448586,0.08618901132489556,0.17926449921587762,0.018915679724887002,17.996989036319643,98.75
B2,raw,R134,30,5.016722408026756,0.04556127517173689,0.9214409066884545,0.06810557062427204,0.8030486307680414,0.06769322079916794,0.8211947936439322,-0.02213194562743105,-48.57622080156396,40.0
B2,raw,R134a,106,17.725752508361204,0.041067346245191004,0.8901216776868663,0.03667703228211908,0.910193137134329,0.03724903142923172,0.9089217591727002,0.0038183148159592825,9.29769065953807,55.660377358490564
B2,raw,R143a,41,6.856187290969899,0.04001164107254094,0.31091895569850214,0.05892702448920051,-0.4546311295655814,0.06348076755941914,-0.7246139894519705,-0.023469126486878204,-58.65574582239398,9.75609756097561
B2,raw,R152a,33,5.518394648829431,0.051498824786959274,0.8167584210653033,0.04915964583104306,0.8101826535304051,0.04378009665418754,0.8587495410341383,0.007718728132771732,14.988163641991104,78.78787878787878
B2,raw,R161,35,5.852842809364549,0.03385895124769636,0.8540066351716253,0.03366888023646815,0.9040191137783896,0.03863346234762244,0.8930936161072092,-0.0047745110999260765,-14.101178341284024,31.428571428571427
B2,raw,R227ea,25,4.1806020066889635,0.08808957923948764,-11.91707643520917,0.06117264501750468,-5.361829754236621,0.05129958416521549,-3.4314110632167223,0.03678999507427215,41.7642987875465,100.0
B2,raw,R23,51,8.528428093645484,0.05309978060643462,0.6009400653407598,0.050897101537488845,0.6973427874958908,0.05280541907813324,0.6873607673647995,0.0002943615283013748,0.5543554510763914,45.09803921568628
