split,eval_type,comparison,baseline_mode,target_mode,n_samples,mae_baseline,mae_target,mae_improvement_baseline_minus_target,pct_mae_reduction,bootstrap_95ci_low,bootstrap_95ci_high,wilcoxon_p_twosided,wilcoxon_p_onesided,paired_ttest_p,target_win_rate_pct,target_loss_rate_pct,target_tie_rate_pct,statistically_significant_p05,statistically_significant_p01
B1,raw,Mreduced_vs_M0,M0,Mreduced,513,0.028704324246476794,0.029218730483146035,-0.0005144062366692427,-1.7920862106077295,-0.0016919801331108874,0.0007056673913268196,0.97850604871771,0.489253024358855,0.4144037720845004,52.046783625730995,47.953216374269005,0.0,False,False
B1,raw,Mreduced_vs_Mthermo,Mthermo,Mreduced,513,0.028765866526386196,0.029218730483146035,-0.00045286395675983923,-1.5743101510411261,-0.0010978983214568014,0.00018019228965792078,0.810717602427363,0.5946411987863185,0.15447771823990375,52.436647173489284,47.563352826510716,0.0,False,False
B1,raw,Mthermo_vs_M0,M0,Mthermo,513,0.028704324246476794,0.028765866526386196,-6.154227990940308e-05,-0.21440072715509487,-0.001279937305712808,0.001202851656305129,0.9225680874387242,0.4612840437193621,0.9239437076940696,47.953216374269005,52.046783625730995,0.0,False,False
B1,clipped,Mreduced_vs_M0,M0,Mreduced,513,0.028719906397998974,0.029218730483146035,-0.000498824085147062,-1.736858324795294,-0.0016775454482568354,0.0007279683730236423,0.9310831742951156,0.4655415871475578,0.42858638341938526,52.046783625730995,47.953216374269005,0.0,False,False
B1,clipped,Mreduced_vs_Mthermo,Mthermo,Mreduced,513,0.028765866526386196,0.029218730483146035,-0.00045286395675983923,-1.5743101510411261,-0.0010978983214568014,0.00018019228965792078,0.810717602427363,0.5946411987863185,0.15447771823990375,52.436647173489284,47.563352826510716,0.0,False,False
B1,clipped,Mthermo_vs_M0,M0,Mthermo,513,0.028719906397998974,0.028765866526386196,-4.5960128387222525e-05,-0.16002882373747693,-0.001259069356896697,0.001224842858995483,0.9017927122037983,0.45089635610189915,0.9431351014434459,47.953216374269005,52.046783625730995,0.0,False,False
B2,raw,Mreduced_vs_M0,M0,Mreduced,598,0.05182158370672828,0.04760498725766329,0.0042165964490649965,8.136757210910028,0.002094158848738271,0.006255182693165381,3.948926218891181e-07,1.9744631094455904e-07,0.00014637578189655265,60.70234113712375,39.297658862876254,0.0,True,True
B2,raw,Mreduced_vs_Mthermo,Mthermo,Mreduced,598,0.05027621523029386,0.04760498725766329,0.0026712279726305754,5.313104736294921,0.00193022993703164,0.0033965208280806645,6.475310838386714e-10,3.237655419193357e-10,6.4781712750440885e-12,58.19397993311036,41.80602006688963,0.0,True,True
B2,raw,Mthermo_vs_M0,M0,Mthermo,598,0.05182158370672828,0.05027621523029386,0.001545368476434422,2.9820942663197196,-0.0004604452707996286,0.003444591420420356,0.037225306932257014,0.018612653466128507,0.1416725972982284,53.67892976588629,46.32107023411371,0.0,True,False
B2,clipped,Mreduced_vs_M0,M0,Mreduced,598,0.05182022960372986,0.04724851226528334,0.004571717338446516,8.822263763411536,0.0025017285421116927,0.006624792711088982,1.4027787403432667e-08,7.013893701716334e-09,3.603190617567476e-05,62.54180602006689,37.45819397993311,0.0,True,True
B2,clipped,Mreduced_vs_Mthermo,Mthermo,Mreduced,598,0.04982861919444597,0.04724851226528334,0.0025801069291626253,5.177961924038652,0.0018463427843767397,0.0033263239006155227,4.9358682302596164e-09,2.4679341151298082e-09,2.9047054666559238e-11,56.187290969899664,42.474916387959865,1.3377926421404682,True,True
B2,clipped,Mthermo_vs_M0,M0,Mthermo,598,0.05182022960372986,0.04982861919444597,0.001991610409283892,3.843306802215595,1.6994872184958306e-06,0.0038883076731448824,0.003907208358733832,0.001953604179366916,0.057389625445835805,55.68561872909699,44.314381270903006,0.0,True,True
