split,chemical_system,cation,anion,refrigerant,n_state_points,mode,system_mae,system_rmse
B1,[emim]__[OTf]__R152a,[emim],[OTf],R152a,24,M0,0.07005135888854662,0.08465594611941346
B1,[emim]__[OTf]__R152a,[emim],[OTf],R152a,24,Mthermo,0.06975375444938739,0.08382573914369101
B1,[emim]__[OTf]__R152a,[emim],[OTf],R152a,24,Mreduced,0.07113209643090766,0.08532068441189833
B1,[emim]__[OTf]__R32,[emim],[OTf],R32,41,M0,0.023788905807021192,0.038391354028658314
B1,[emim]__[OTf]__R32,[emim],[OTf],R32,41,Mthermo,0.020329086464352737,0.031989895816100324
B1,[emim]__[OTf]__R32,[emim],[OTf],R32,41,Mreduced,0.0242988361999756,0.041096587754604175
B1,[emim]__[PFBS]__R125,[emim],[PFBS],R125,10,M0,0.01754211567342281,0.02373280655788283
B1,[emim]__[PFBS]__R125,[emim],[PFBS],R125,10,Mthermo,0.02994761820882557,0.03704477891406244
B1,[emim]__[PFBS]__R125,[emim],[PFBS],R125,10,Mreduced,0.035054487250745295,0.042297242888349275
B1,[emim]__[PFBS]__R134a,[emim],[PFBS],R134a,12,M0,0.016218439365426704,0.019659890366816434
B1,[emim]__[PFBS]__R134a,[emim],[PFBS],R134a,12,Mthermo,0.022885936933259174,0.028998665444658067
B1,[emim]__[PFBS]__R134a,[emim],[PFBS],R134a,12,Mreduced,0.022738654414812737,0.029880634778717427
B1,[emim]__[PFBS]__R32,[emim],[PFBS],R32,11,M0,0.015379248864271429,0.018838333603158616
B1,[emim]__[PFBS]__R32,[emim],[PFBS],R32,11,Mthermo,0.01006076322360473,0.011769481235290848
B1,[emim]__[PFBS]__R32,[emim],[PFBS],R32,11,Mreduced,0.011787610365585873,0.014181020096269665
B1,[emim]__[TFES]__R32,[emim],[TFES],R32,8,M0,0.06940285374876115,0.08029913448832433
B1,[emim]__[TFES]__R32,[emim],[TFES],R32,8,Mthermo,0.061676797829568406,0.0718817222126527
B1,[emim]__[TFES]__R32,[emim],[TFES],R32,8,Mreduced,0.0692453684518114,0.0799775152879394
B1,[empy]__[PFBS]__R125,[empy],[PFBS],R125,10,M0,0.02693414323031903,0.031161211171794746
B1,[empy]__[PFBS]__R125,[empy],[PFBS],R125,10,Mthermo,0.05012893669307232,0.05688908513792448
B1,[empy]__[PFBS]__R125,[empy],[PFBS],R125,10,Mreduced,0.04611001498997213,0.053452940382797194
B1,[empy]__[PFBS]__R134a,[empy],[PFBS],R134a,11,M0,0.010221184824000695,0.012927722499119792
B1,[empy]__[PFBS]__R134a,[empy],[PFBS],R134a,11,Mthermo,0.015902611681006186,0.019031341391709818
