split,comparison,baseline_mode,target_mode,n_state_points,pt_mae_baseline,pt_mae_target,pt_pct_mae_reduction,pt_mean_improvement,pt_bootstrap_95ci_low,pt_bootstrap_95ci_high,pt_ci_excludes_zero,pt_wilcoxon_p,pt_ttest_p,pt_win_rate_pct,n_chemical_systems,sys_mae_baseline,sys_mae_target,sys_mean_improvement,sys_cluster_bootstrap_95ci_low,sys_cluster_bootstrap_95ci_high,sys_ci_excludes_zero,sys_wilcoxon_p,sys_ttest_p,sys_win_rate_pct
B1,Mreduced_vs_M0,M0,Mreduced,513,0.028704324246476794,0.029218730483146035,-1.7920862106077295,-0.0005144062366692427,-0.0016919801331108874,0.0007056673913268196,False,0.97850604871771,0.4144037720845004,52.046783625730995,31,0.024525010773476925,0.02507999120392115,-0.0005549804304442196,-0.0030596975302086328,0.001744067769967532,False,0.9461012529209256,0.6574490489230118,48.38709677419355
B1,Mreduced_vs_Mthermo,Mthermo,Mreduced,513,0.028765866526386196,0.029218730483146035,-1.5743101510411261,-0.00045286395675983923,-0.0010978983214568014,0.00018019228965792078,False,0.810717602427363,0.15447771823990375,52.436647173489284,31,0.02474892209945713,0.02507999120392115,-0.00033106910446402345,-0.0014200357243239863,0.0007520296039817067,False,0.7206862810999155,0.561811658078839,45.16129032258064
B1,Mthermo_vs_M0,M0,Mthermo,513,0.028704324246476794,0.028765866526386196,-0.21440072715509487,-6.154227990940308e-05,-0.001279937305712808,0.001202851656305129,False,0.9225680874387242,0.9239437076940696,47.953216374269005,31,0.024525010773476925,0.02474892209945713,-0.00022391132598019648,-0.0028608182237471937,0.002314874718660699,False,0.7942198486998677,0.8693156012171043,54.83870967741935
B2,Mreduced_vs_M0,M0,Mreduced,598,0.05182158370672828,0.04760498725766329,8.136757210910028,0.0042165964490649965,0.002094158848738271,0.006255182693165381,True,3.948926218891181e-07,0.00014637578189655265,60.70234113712375,25,0.04845319696351619,0.04387526832023373,0.004577928643282463,-0.0008919110798921957,0.010386061090433149,False,0.09031611680984497,0.12774796030755545,64.0
B2,Mreduced_vs_Mthermo,Mthermo,Mreduced,598,0.05027621523029386,0.04760498725766329,5.313104736294921,0.0026712279726305754,0.00193022993703164,0.0033965208280806645,True,6.475310838386714e-10,6.4781712750440885e-12,58.19397993311036,25,0.04604638421207676,0.04387526832023373,0.0021711158918430434,8.288274893774903e-05,0.004328809176851066,True,0.17295855283737183,0.06200572565140438,56.00000000000001
B2,Mthermo_vs_M0,M0,Mthermo,598,0.05182158370672828,0.05027621523029386,2.9820942663197196,0.001545368476434422,-0.0004604452707996286,0.003444591420420356,False,0.037225306932257014,0.1416725972982284,53.67892976588629,25,0.04845319696351619,0.04604638421207676,0.00240681275143942,-0.0022158067219433244,0.007380307489442834,False,0.21998637914657593,0.33969568547423323,68.0
