case,seed,layer,atom_attn_sum,self_loop_attn,atom_attn_share_pct,global_node_diff,global_node_norm
Case1_R1234yf,42,1,0.9500000476837158,0.05000000074505806,95.00000016763805,9.453526850222715e-09,0.04806487634778023
Case1_R1234yf,42,2,0.9500000476837158,0.05000000074505806,95.00000016763805,0.0,0.0021291302982717752
Case1_R1234yf,42,3,0.9500000476837158,0.05000000074505806,95.00000016763805,0.0,0.04222462698817253
Case1_R1234yf,43,1,0.9499996304512024,0.050000306218862534,94.99996906146211,0.0011096224188804626,0.0940358117222786
Case1_R1234yf,43,2,0.9500000476837158,0.05000000074505806,95.00000016763805,3.6949270452169003e-06,0.0372295007109642
Case1_R1234yf,43,3,0.9500000476837158,0.05000000074505806,95.00000016763805,3.280705982433574e-07,0.09691863507032394
Case1_R1234yf,44,1,0.9500000476837158,0.05000000074505806,95.00000016763805,7.504636556632249e-08,0.04393274709582329
Case1_R1234yf,44,2,0.9500000476837158,0.05000000074505806,95.00000016763805,2.9103830456733704e-11,0.002922808052971959
Case1_R1234yf,44,3,0.9500000476837158,0.05000000074505806,95.00000016763805,0.0,0.0
Case1_R1234yf,45,1,0.9817684292793274,0.018231604248285294,98.17683963629769,1.9288787841796875,1.9069510698318481
Case1_R1234yf,45,2,0.9234253764152527,0.07657460123300552,92.34253970554187,0.8524526357650757,0.6316877007484436
Case1_R1234yf,45,3,0.9501402378082275,0.04985973238945007,95.01402661246141,0.6253683567047119,0.3573107421398163
Case1_R1234yf,46,1,0.9500000476837158,0.05000000074505806,95.00000016763805,1.3078572891345175e-08,0.012390730902552605
Case1_R1234yf,46,2,0.9500000476837158,0.05000000074505806,95.00000016763805,0.0,0.004496837500482798
Case1_R1234yf,46,3,0.9500000476837158,0.05000000074505806,95.00000016763805,0.0,0.0041297622956335545
Case3_BF4_vs_PF6,42,1,0.9473683834075928,0.05263157933950424,94.73684186998166,7.527888215008716e-07,0.018452579155564308
Case3_BF4_vs_PF6,42,2,0.9473683834075928,0.05263157933950424,94.73684186998166,2.3283064365386963e-10,0.001766385161317885
Case3_BF4_vs_PF6,42,3,0.9473683834075928,0.05263157933950424,94.73684186998166,0.0,0.03363030403852463
Case3_BF4_vs_PF6,43,1,0.9473683834075928,0.052631575614213943,94.7368422229039,7.472936545127595e-07,0.02682003565132618
Case3_BF4_vs_PF6,43,2,0.9473683834075928,0.05263157933950424,94.73684186998166,1.1641532182693481e-10,0.04096567630767822
Case3_BF4_vs_PF6,43,3,0.9473683834075928,0.05263157933950424,94.73684186998166,0.0,0.0343160405755043
Case3_BF4_vs_PF6,44,1,0.9469577074050903,0.05304235219955444,94.69576509620158,0.0701473131775856,0.23985441029071808
Case3_BF4_vs_PF6,44,2,0.947368323802948,0.052631717175245285,94.73682849815073,0.004337727092206478,0.032936085015535355
Case3_BF4_vs_PF6,44,3,0.9473685026168823,0.05263156443834305,94.73684390908781,0.00106989371124655,0.17231079936027527
Case3_BF4_vs_PF6,45,1,0.9474762678146362,0.052523791790008545,94.74762113406531,0.18782007694244385,0.3158644437789917
Case3_BF4_vs_PF6,45,2,0.9473689794540405,0.05263108015060425,94.73689229864523,0.02042935974895954,0.17282867431640625
Case3_BF4_vs_PF6,45,3,0.9473682641983032,0.05263169854879379,94.73682994905226,0.00901256874203682,0.20543068647384644
Case3_BF4_vs_PF6,46,1,0.9473682641983032,0.05263157933950424,94.73684124256422,0.0006655637407675385,0.04773896560072899
Case3_BF4_vs_PF6,46,2,0.9473683834075928,0.05263157933950424,94.73684186998166,1.318019542395632e-07,0.001390810590237379
Case3_BF4_vs_PF6,46,3,0.9473683834075928,0.05263157933950424,94.73684186998166,6.316537071171524e-09,0.09134989231824875
