case_id,sample_id,seed,y_target,y_base,graph_output_sensitivity,global_node_sensitivity_L1,global_node_sensitivity_L2,global_node_sensitivity_L3,node_attribution_norm,edge_attribution_norm,graph_active_flag,graph_activity_reason,specific_smarts_coverage,other_atom_fraction,top_group_name,top_group_component,delta_y_top,delta_y_rand_comp,r_faith_component_matched,r_faith_global_matched,faithfulness_zero_denominator,faithfulness_valid
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,43,0.029217444360256195,0.029217438772320747,5.587935447692871e-09,0.0013152665924280882,8.6796908362885e-06,1.2562264828375191e-06,1.5240842927977116e-09,0.0,False,Head Insensitivity (L1 active but head collapsed),100.0,0.0,PF6_Core,Anion,5.587935447692871e-09,5.587935447692871e-09,0.5587935447692871,0.1862645149230957,True,False
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,44,0.058811500668525696,0.058811500668525696,0.0,4.3851702713482155e-08,0.0,0.0,0.0,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),100.0,0.0,Imidazolium_Ring,Cation,0.0,0.0,0.0,0.0,True,False
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,45,0.07733476161956787,0.0453079417347908,0.03202681988477707,0.9974228143692017,0.2589006721973419,0.3198186159133911,0.1011591904098155,0.0,True,Significant Sensitivity (|Δy_graph| >= 1e-3),100.0,0.0,Halogenated_Alkene,Refri,0.034472689032554626,0.013888762394587199,2.4820562158936137,2.4225692160950203,False,True
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,46,0.056026749312877655,0.056026749312877655,0.0,1.1504355246216846e-09,0.0,0.0,9.26238514578548e-20,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),100.0,0.0,Alkyl_Chain,Cation,0.0,0.0,0.0,0.0,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,42,0.26363807916641235,0.26363810896873474,2.9802322387695312e-08,0.0008707985398359597,1.3676435628440231e-05,1.3708005326407147e-06,6.377479361274752e-08,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),88.57142857142857,11.428571428571429,CF3,Anion,0.0,1.3907750447591146e-08,0.0,1.0,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,43,0.23213307559490204,0.23213300108909607,7.450580596923828e-08,0.0013954384485259652,1.0005158401327208e-05,1.3934914022684097e-06,1.0933161498360988e-07,0.0,False,Head Insensitivity (L1 active but head collapsed),88.57142857142857,11.428571428571429,CF3,Anion,1.4901161193847656e-08,1.2914339701334636e-08,1.1538461538461537,0.8108108108108107,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,44,0.15957863628864288,0.15957863628864288,0.0,3.3853449821208415e-08,2.9103830456733704e-11,0.0,0.0,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),88.57142857142857,11.428571428571429,Imidazolium_Ring,Cation,0.0,0.0,0.0,0.0,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,45,0.1725967526435852,0.1667529046535492,0.005843847990036011,0.11768221855163574,0.11660674959421158,0.09558606147766113,0.08017071452922929,0.0,True,Significant Sensitivity (|Δy_graph| >= 1e-3),88.57142857142857,11.428571428571429,CHF2,Refri,0.002279996871948242,0.002279996871948242,1.0,1.000000871426281,False,True
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,46,0.15670646727085114,0.15670646727085114,0.0,1.1795188159524628e-09,0.0,0.0,6.637750025634091e-19,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),88.57142857142857,11.428571428571429,CF3,Anion,0.0,0.0,0.0,0.0,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,42,0.12677285075187683,0.1267729103565216,5.960464477539063e-08,0.0008706170483492315,1.365168373013148e-05,1.3708005326407147e-06,6.951132813792782e-08,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),88.57142857142857,11.428571428571429,CF3,Anion,1.4901161193847656e-08,1.4901161193847656e-08,1.0,0.0,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,43,0.09555228054523468,0.0955522209405899,5.960464477539063e-08,0.0013998749200254679,1.00357801784412e-05,1.3965234302304452e-06,7.067419094397565e-08,0.0,False,Head Insensitivity (L1 active but head collapsed),88.57142857142857,11.428571428571429,CF3,Anion,1.4901161193847656e-08,1.4404455820719401e-08,1.0344827586206897,1.2,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,44,0.08403667062520981,0.08403667062520981,0.0,3.3853449821208415e-08,2.9103830456733704e-11,0.0,0.0,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),88.57142857142857,11.428571428571429,Imidazolium_Ring,Cation,0.0,0.0,0.0,0.0,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,45,0.07365263998508453,0.01851528137922287,0.055137358605861664,1.1242932081222534,0.21172110736370087,0.4165537655353546,0.1051453253021445,0.0,True,Significant Sensitivity (|Δy_graph| >= 1e-3),88.57142857142857,11.428571428571429,CH2F,Refri,0.05554363876581192,0.0003727860748767853,148.99601275120168,145.52047160327547,False,True
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,46,0.0776088535785675,0.0776088535785675,0.0,1.1795188159524628e-09,0.0,0.0,4.0867141355412064e-19,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),88.57142857142857,11.428571428571429,CF3,Anion,0.0,0.0,0.0,0.0,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,42,0.35242602229118347,0.35242611169815063,8.940696716308594e-08,0.0008707985398359597,1.3676435628440231e-05,1.3708005326407147e-06,7.675335589318877e-08,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),88.57142857142857,11.428571428571429,CF3,Anion,2.9802322387695312e-08,2.9802322387695312e-08,1.0,1.0714285714285714,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,43,0.31962236762046814,0.319622278213501,8.940696716308594e-08,0.0013954384485259652,1.0005158401327208e-05,1.3934914022684097e-06,1.1137555189222326e-07,0.0,False,Head Insensitivity (L1 active but head collapsed),88.57142857142857,11.428571428571429,CF3,Anion,2.9802322387695312e-08,2.8808911641438802e-08,1.0344827586206897,1.875,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,44,0.2611831724643707,0.2611831724643707,0.0,3.3853449821208415e-08,2.9103830456733704e-11,0.0,0.0,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),88.57142857142857,11.428571428571429,Imidazolium_Ring,Cation,0.0,0.0,0.0,0.0,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,45,0.27556246519088745,0.26607412099838257,0.009488344192504883,0.11768221855163574,0.11660674959421158,0.09558606147766113,0.12091186188626929,0.0,True,Significant Sensitivity (|Δy_graph| >= 1e-3),88.57142857142857,11.428571428571429,CHF2,Refri,0.0043686628341674805,0.0043686628341674805,1.0,1.0,False,True
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,46,0.26351678371429443,0.26351678371429443,0.0,1.1795188159524628e-09,0.0,0.0,7.593115580481741e-19,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),88.57142857142857,11.428571428571429,CF3,Anion,0.0,0.0,0.0,0.0,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,42,0.1864858865737915,0.18648594617843628,5.960464477539063e-08,0.0008706170483492315,1.365168373013148e-05,1.3708005326407147e-06,7.163179738256531e-08,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),88.57142857142857,11.428571428571429,CF3,Anion,1.4901161193847656e-08,1.0927518208821614e-08,1.3636363636363638,0.0,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,43,0.16129045188426971,0.16129037737846375,7.450580596923828e-08,0.0013998749200254679,1.00357801784412e-05,1.3965234302304452e-06,8.657299022107878e-08,0.0,False,Head Insensitivity (L1 active but head collapsed),88.57142857142857,11.428571428571429,CF3,Anion,2.9802322387695312e-08,2.1358331044514974e-08,1.3953488372093024,0.8571428571428571,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,44,0.14628519117832184,0.14628519117832184,0.0,3.3853449821208415e-08,2.9103830456733704e-11,0.0,0.0,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),88.57142857142857,11.428571428571429,Imidazolium_Ring,Cation,0.0,0.0,0.0,0.0,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,45,0.13826557993888855,0.04948591813445091,0.08877966180443764,1.1242932081222534,0.21172110736370087,0.4165537655353546,0.1700701795052716,0.0,True,Significant Sensitivity (|Δy_graph| >= 1e-3),88.57142857142857,11.428571428571429,CH2F,Refri,0.08935437351465225,0.00019701222578684489,453.54735300198166,389.25734668839135,False,True
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,46,0.14154353737831116,0.14154353737831116,0.0,1.1795188159524628e-09,0.0,0.0,4.8008725999611405e-19,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),88.57142857142857,11.428571428571429,CF3,Anion,0.0,0.0,0.0,0.0,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,42,0.46837735176086426,0.4683774411678314,8.940696716308594e-08,0.0008707985398359597,1.3676435628440231e-05,1.3708005326407147e-06,7.964453041520159e-08,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),88.57142857142857,11.428571428571429,CF3,Anion,0.0,4.967053731282552e-09,0.0,0.0,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,43,0.4292517602443695,0.42925170063972473,5.960464477539063e-08,0.0013954384485259652,1.0005158401327208e-05,1.3934914022684097e-06,1.0768040836772741e-07,0.0,False,Head Insensitivity (L1 active but head collapsed),88.57142857142857,11.428571428571429,CF3,Anion,0.0,1.986821492513021e-09,0.0,2.4,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,44,0.41425564885139465,0.41425564885139465,0.0,3.3853449821208415e-08,2.9103830456733704e-11,0.0,0.0,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),88.57142857142857,11.428571428571429,Imidazolium_Ring,Cation,0.0,0.0,0.0,0.0,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,45,0.4185633063316345,0.4056890606880188,0.012874245643615723,0.11768221855163574,0.11660674959421158,0.09558606147766113,0.14996227109804602,0.0,True,Significant Sensitivity (|Δy_graph| >= 1e-3),88.57142857142857,11.428571428571429,CHF2,Refri,0.00626903772354126,0.00626903772354126,1.0,1.0,False,True
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,46,0.4139150381088257,0.4139150381088257,0.0,1.1795188159524628e-09,0.0,0.0,8.58711899215775e-19,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),88.57142857142857,11.428571428571429,CF3,Anion,0.0,0.0,0.0,0.0,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,42,0.2743143141269684,0.27431443333625793,1.1920928955078125e-07,0.0008706170483492315,1.365168373013148e-05,1.3708005326407147e-06,8.700994635901793e-08,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),88.57142857142857,11.428571428571429,CF3,Anion,5.960464477539063e-08,5.960464477539063e-08,1.0,2.9802322387695312,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,43,0.2548636198043823,0.25486353039741516,8.940696716308594e-08,0.0013998749200254679,1.00357801784412e-05,1.3965234302304452e-06,9.077908058596762e-08,0.0,False,Head Insensitivity (L1 active but head collapsed),88.57142857142857,11.428571428571429,CF3,Anion,2.9802322387695312e-08,2.9802322387695312e-08,1.0,1.3043478260869563,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,44,0.24371862411499023,0.24371862411499023,0.0,3.3853449821208415e-08,2.9103830456733704e-11,0.0,0.0,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),88.57142857142857,11.428571428571429,Imidazolium_Ring,Cation,0.0,0.0,0.0,0.0,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,45,0.2381274402141571,0.1028212159872055,0.1353062242269516,1.1242932081222534,0.21172110736370087,0.4165537655353546,0.28321039816364507,0.0,True,Significant Sensitivity (|Δy_graph| >= 1e-3),88.57142857142857,11.428571428571429,CH2F,Refri,0.13706114143133163,0.0001793156067530314,764.3570122711283,640.990299448769,False,True
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,46,0.23960912227630615,0.23960912227630615,0.0,1.1795188159524628e-09,0.0,0.0,7.423631224744191e-19,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),88.57142857142857,11.428571428571429,CF3,Anion,0.0,0.0,0.0,0.0,True,False
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,42,0.5826584696769714,0.5826585292816162,5.960464477539063e-08,0.0008707985398359597,1.3676435628440231e-05,1.3708005326407147e-06,7.328510431836577e-08,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),88.57142857142857,11.428571428571429,CF3,Anion,5.960464477539063e-08,5.960464477539063e-08,1.0,0.0,True,False
