solution_mode,N_evaluations,fraction_pct,median_delta_y_graph,median_L1_diff,median_L3_diff,N_faithfulness_valid,median_r_faith_comp_valid,median_r_faith_glob_valid,zero_denom_count
Graph-Inactive / Scalar-Bypassed,180,83.72093023255815,0.0,4.106247963875376e-08,0.0,0,,,180
Graph-Active,35,16.27906976744186,0.08150848746299744,1.9316413402557373,0.5918576121330261,35,146.33818554004492,145.52047160327547,0
