sample_id,npy_idx,excel_pos,cation,anion,refrigerant,T_K,P_MPa,x1,anion_smiles,cation_smiles,refri_smiles,sheet
[emim]__[Tf2N]__R23__323.1__0.3253,531,531,[emim],[Tf2N],R23,323.1,0.3253,0.065,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R23__323.2__0.9999,532,532,[emim],[Tf2N],R23,323.2,0.9999,0.187,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R23__323.1__1.242,533,533,[emim],[Tf2N],R23,323.1,1.242,0.228,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R23__323.1__1.4914,534,534,[emim],[Tf2N],R23,323.1,1.4914,0.267,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R23__323.2__1.7491,535,535,[emim],[Tf2N],R23,323.2,1.7491,0.3,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R23__323.1__1.9993,536,536,[emim],[Tf2N],R23,323.1,1.9993,0.333,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R23__323.2__1.7488,537,537,[emim],[Tf2N],R23,323.2,1.7488,0.302,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R23__323.2__1.4897,538,538,[emim],[Tf2N],R23,323.2,1.4897,0.266,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R23__323.1__1.2496,539,539,[emim],[Tf2N],R23,323.1,1.2496,0.229,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R23__323.1__0.9996,540,540,[emim],[Tf2N],R23,323.1,0.9996,0.189,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R23__323.2__0.7498,541,541,[emim],[Tf2N],R23,323.2,0.7498,0.144,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R23__323.1__0.4995,542,542,[emim],[Tf2N],R23,323.1,0.4995,0.098,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R23__323.1__0.2491,543,543,[emim],[Tf2N],R23,323.1,0.2491,0.049,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R23__323.1__0.0998,544,544,[emim],[Tf2N],R23,323.1,0.0998,0.018,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R23__288.13__0.10065,545,545,[emim],[Tf2N],R23,288.13,0.10065,0.03627,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R23__293.23__0.10659,546,546,[emim],[Tf2N],R23,293.23,0.10659,0.03501,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R23__298.16__0.09897,547,547,[emim],[Tf2N],R23,298.16,0.09897,0.02986,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R23__303.17__0.1028,548,548,[emim],[Tf2N],R23,303.17,0.1028,0.02781,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R23__308.17__0.10328,549,549,[emim],[Tf2N],R23,308.17,0.10328,0.02542,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R23__303.15__0.1,550,550,[emim],[Tf2N],R23,303.15,0.1,0.0451,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R23__303.15__0.135,551,551,[emim],[Tf2N],R23,303.15,0.135,0.0594,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R23__303.15__0.179,552,552,[emim],[Tf2N],R23,303.15,0.179,0.0759,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R23__303.15__0.223,553,553,[emim],[Tf2N],R23,303.15,0.223,0.0946,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R23__303.15__0.26,554,554,[emim],[Tf2N],R23,303.15,0.26,0.113,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R23__303.15__0.302,555,555,[emim],[Tf2N],R23,303.15,0.302,0.127,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.025,556,556,[emim],[Tf2N],R152a,298.2,0.025,0.042,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.05,557,557,[emim],[Tf2N],R152a,298.2,0.05,0.085,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.075,558,558,[emim],[Tf2N],R152a,298.2,0.075,0.127,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.1,559,559,[emim],[Tf2N],R152a,298.2,0.1,0.167,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.125,560,560,[emim],[Tf2N],R152a,298.2,0.125,0.205,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.15,561,561,[emim],[Tf2N],R152a,298.2,0.15,0.243,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.175,562,562,[emim],[Tf2N],R152a,298.2,0.175,0.28,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.2,563,563,[emim],[Tf2N],R152a,298.2,0.2,0.315,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.225,564,564,[emim],[Tf2N],R152a,298.2,0.225,0.35,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.1__0.25,565,565,[emim],[Tf2N],R152a,298.1,0.25,0.384,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.275,566,566,[emim],[Tf2N],R152a,298.2,0.275,0.418,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.3,567,567,[emim],[Tf2N],R152a,298.2,0.3,0.451,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.1__0.325,568,568,[emim],[Tf2N],R152a,298.1,0.325,0.483,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.35,569,569,[emim],[Tf2N],R152a,298.2,0.35,0.516,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.375,570,570,[emim],[Tf2N],R152a,298.2,0.375,0.549,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.1__0.3999,571,571,[emim],[Tf2N],R152a,298.1,0.3999,0.581,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.4498,572,572,[emim],[Tf2N],R152a,298.2,0.4498,0.649,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.5,573,573,[emim],[Tf2N],R152a,298.2,0.5,0.724,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.55,574,574,[emim],[Tf2N],R152a,298.2,0.55,0.823,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.5,575,575,[emim],[Tf2N],R152a,298.2,0.5,0.725,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.1__0.45,576,576,[emim],[Tf2N],R152a,298.1,0.45,0.649,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.4,577,577,[emim],[Tf2N],R152a,298.2,0.4,0.581,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.35,578,578,[emim],[Tf2N],R152a,298.2,0.35,0.516,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.3,579,579,[emim],[Tf2N],R152a,298.2,0.3,0.45,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.275,580,580,[emim],[Tf2N],R152a,298.2,0.275,0.417,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.25,581,581,[emim],[Tf2N],R152a,298.2,0.25,0.384,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.225,582,582,[emim],[Tf2N],R152a,298.2,0.225,0.35,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.2,583,583,[emim],[Tf2N],R152a,298.2,0.2,0.315,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.175,584,584,[emim],[Tf2N],R152a,298.2,0.175,0.279,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.15,585,585,[emim],[Tf2N],R152a,298.2,0.15,0.243,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.125,586,586,[emim],[Tf2N],R152a,298.2,0.125,0.205,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.1,587,587,[emim],[Tf2N],R152a,298.2,0.1,0.166,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.075,588,588,[emim],[Tf2N],R152a,298.2,0.075,0.126,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.05,589,589,[emim],[Tf2N],R152a,298.2,0.05,0.084,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R152a__298.2__0.025,590,590,[emim],[Tf2N],R152a,298.2,0.025,0.041,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__282.9__0.0099,591,591,[emim],[Tf2N],R134,282.9,0.0099,0.055,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__283.2__0.05,592,592,[emim],[Tf2N],R134,283.2,0.05,0.246,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__283.1__0.1003,593,593,[emim],[Tf2N],R134,283.1,0.1003,0.433,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__283.2__0.1498,594,594,[emim],[Tf2N],R134,283.2,0.1498,0.573,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__283__0.1997,595,595,[emim],[Tf2N],R134,283.0,0.1997,0.7020000000000001,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__283.1__0.25,596,596,[emim],[Tf2N],R134,283.1,0.25,0.8109999999999999,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__283.2__0.3004,597,597,[emim],[Tf2N],R134,283.2,0.3004,0.964,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__298.2__0.0099,598,598,[emim],[Tf2N],R134,298.2,0.0099,0.033,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__298.2__0.05,599,599,[emim],[Tf2N],R134,298.2,0.05,0.156,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__298.2__0.0999,600,600,[emim],[Tf2N],R134,298.2,0.0999,0.284,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__298.1__0.1496,601,601,[emim],[Tf2N],R134,298.1,0.1496,0.395,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__298.2__0.2001,602,602,[emim],[Tf2N],R134,298.2,0.2001,0.49,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__298.1__0.2496,603,603,[emim],[Tf2N],R134,298.1,0.2496,0.573,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__298__0.2995,604,604,[emim],[Tf2N],R134,298.0,0.2995,0.648,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__298.2__0.3497,605,605,[emim],[Tf2N],R134,298.2,0.3497,0.716,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__323.1__0.0102,606,606,[emim],[Tf2N],R134,323.1,0.0102,0.016,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__323.1__0.05,607,607,[emim],[Tf2N],R134,323.1,0.05,0.076,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__323.2__0.1004,608,608,[emim],[Tf2N],R134,323.2,0.1004,0.147,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__323.1__0.1505,609,609,[emim],[Tf2N],R134,323.1,0.1505,0.21,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__323.1__0.2004,610,610,[emim],[Tf2N],R134,323.1,0.2004,0.2689999999999999,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__323__0.2494,611,611,[emim],[Tf2N],R134,323.0,0.2494,0.3229999999999999,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__323.1__0.3003,612,612,[emim],[Tf2N],R134,323.1,0.3003,0.374,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__323.1__0.3505,613,613,[emim],[Tf2N],R134,323.1,0.3505,0.421,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__348.1__0.0105,614,614,[emim],[Tf2N],R134,348.1,0.0105,0.006,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__348.1__0.0504,615,615,[emim],[Tf2N],R134,348.1,0.0504,0.04,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__348.1__0.1005,616,616,[emim],[Tf2N],R134,348.1,0.1005,0.079,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__348.1__0.1505,617,617,[emim],[Tf2N],R134,348.1,0.1505,0.1159999999999999,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__348.1__0.2004,618,618,[emim],[Tf2N],R134,348.1,0.2004,0.152,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__348.1__0.25,619,619,[emim],[Tf2N],R134,348.1,0.25,0.186,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__348.1__0.2996,620,620,[emim],[Tf2N],R134,348.1,0.2996,0.2189999999999999,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134__348.1__0.3505,621,621,[emim],[Tf2N],R134,348.1,0.3505,0.25,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134a__283.7__0.01,622,622,[emim],[Tf2N],R134a,283.7,0.01,0.019,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134a__282.7__0.0499,623,623,[emim],[Tf2N],R134a,282.7,0.0499,0.105,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134a__283.1__0.0998,624,624,[emim],[Tf2N],R134a,283.1,0.0998,0.2189999999999999,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134a__283.2__0.1498,625,625,[emim],[Tf2N],R134a,283.2,0.1498,0.318,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134a__283.2__0.2003,626,626,[emim],[Tf2N],R134a,283.2,0.2003,0.415,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134a__283.2__0.2501,627,627,[emim],[Tf2N],R134a,283.2,0.2501,0.516,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134a__283.2__0.3005,628,628,[emim],[Tf2N],R134a,283.2,0.3005,0.613,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134a__283.2__0.3501,629,629,[emim],[Tf2N],R134a,283.2,0.3501,0.755,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134a__298.2__0.0103,630,630,[emim],[Tf2N],R134a,298.2,0.0103,0.016,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs
[emim]__[Tf2N]__R134a__298.1__0.0499,631,631,[emim],[Tf2N],R134a,298.1,0.0499,0.071,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs
