cohort,N,Control_4D_MAE,Stereo_4D_MAE,delta_MAE,pct_delta_MAE,bootstrap_95_CI,Control_4D_R2,Stereo_4D_R2,delta_R2
R1336mzz(E),11,0.1694505790797147,0.16945058449831876,5.4186040654435885e-09,3.1977489217635026e-06,"[-0.0000, +0.0000]",-18.124126449047864,-18.12412818135366,-1.7323057974749645e-06
R1336mzz(Z),12,0.23016762616237008,0.23016762740413352,1.2417634420724966e-09,5.395039531738941e-07,"[-0.0000, +0.0000]",-2.1715455683659965,-2.171545476199294,9.216670271428029e-08
R1336mzz(Combined),23,0.20112903842718705,0.20112904166656992,3.239382873054808e-09,1.6105992940584424e-06,"[-0.0000, +0.0000]",-0.4819667418498059,-0.4819667464260884,-4.5762824640860345e-09
Full HFO Universe,1106,0.059500024884343694,0.05950002313621922,-1.7481244715678024e-09,-2.938023093210148e-06,"[-0.0000, -0.0000]",0.4527423567414417,0.4527423785722591,2.183081737605619e-08
