anion_clean,anion_volume,anion_alpha,anion_share,prediction_error,count
AC,54.616,36.474036,0.25662198825526383,0.10377762272953986,2
BEI,208.608,135.58293,0.4119968792303629,0.03588678701221942,8
BF4,51.16,23.504354,0.17418149775813735,0.03485951155424109,1
PF6,,,0.18351951649959214,0.0431347616195678,1
TF2N,154.608,108.021186,0.2033879428964455,0.24592141575398654,23
