Mode,Model_Type,E_MAE,Z_MAE,EZ_Gap,E_Sigma,Z_Sigma,Delta_E_MAE,Pct_Delta_E,Delta_Z_MAE,Pct_Delta_Z,Delta_Gap
M0,Baseline (2D Graph),0.11964540539546445,0.2853759429057439,0.16573053751027947,0.07739983164492957,0.02769550407639974,,,,,
M0,Stereo-Aware (Intervention),0.16945058449831876,0.23016762740413352,0.060717042905814755,0.0,0.0,0.04980517910285431,41.62732278622238,-0.0552083155016104,-19.345819742011333,-0.10501349460446471
Mreduced,Baseline (2D Graph),0.2884813180403276,0.15361492894093198,0.13486638909939563,0.021332434348088358,0.0116325544459493,,,,,
Mreduced,Stereo-Aware (Intervention),,,,,,,,,,
