npy_idx,excel_pos,cation,anion,refrigerant,T_K,P_MPa,x1,anion_smiles,cation_smiles,refri_smiles,sheet
1445,1445,[hmim],[BF4],R236fa,323.15,0.061,0.037,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)CC(F)(F)F,Table S3. VLE HFCs
1446,1446,[hmim],[BF4],R236fa,323.15,0.089,0.0552,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)CC(F)(F)F,Table S3. VLE HFCs
1447,1447,[hmim],[BF4],R236fa,323.15,0.127,0.0808,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)CC(F)(F)F,Table S3. VLE HFCs
1448,1448,[hmim],[BF4],R236fa,323.15,0.154,0.0982,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)CC(F)(F)F,Table S3. VLE HFCs
1449,1449,[hmim],[BF4],R236fa,323.15,0.188,0.1224,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)CC(F)(F)F,Table S3. VLE HFCs
1450,1450,[hmim],[BF4],R236fa,333.15,0.073,0.0325,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)CC(F)(F)F,Table S3. VLE HFCs
1451,1451,[hmim],[BF4],R236fa,333.15,0.106,0.0491,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)CC(F)(F)F,Table S3. VLE HFCs
1452,1452,[hmim],[BF4],R236fa,333.15,0.152,0.0722,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)CC(F)(F)F,Table S3. VLE HFCs
1453,1453,[hmim],[BF4],R236fa,333.15,0.184,0.088,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)CC(F)(F)F,Table S3. VLE HFCs
1454,1454,[hmim],[BF4],R236fa,333.15,0.225,0.1099,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)CC(F)(F)F,Table S3. VLE HFCs
1455,1455,[hmim],[BF4],R236fa,343.15,0.084,0.0285,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)CC(F)(F)F,Table S3. VLE HFCs
1456,1456,[hmim],[BF4],R236fa,343.15,0.123,0.0434,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)CC(F)(F)F,Table S3. VLE HFCs
1457,1457,[hmim],[BF4],R236fa,343.15,0.177,0.0638,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)CC(F)(F)F,Table S3. VLE HFCs
1458,1458,[hmim],[BF4],R236fa,343.15,0.214,0.0781,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)CC(F)(F)F,Table S3. VLE HFCs
1459,1459,[hmim],[BF4],R236fa,343.15,0.263,0.0978,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)CC(F)(F)F,Table S3. VLE HFCs
1460,1460,[hmim],[BF4],R227ea,303.15,0.073,0.039,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
1461,1461,[hmim],[BF4],R227ea,303.15,0.097,0.054,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
1462,1462,[hmim],[BF4],R227ea,303.15,0.134,0.0803,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
1463,1463,[hmim],[BF4],R227ea,303.15,0.149,0.0922,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
1464,1464,[hmim],[BF4],R227ea,303.15,0.178,0.115,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
