npy_idx,excel_pos,cation,anion,refrigerant,T_K,P_MPa,x1,anion_smiles,cation_smiles,refri_smiles,sheet
1465,1465,[hmim],[BF4],R227ea,313.15,0.087,0.0336,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
1466,1466,[hmim],[BF4],R227ea,313.15,0.116,0.0465,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
1467,1467,[hmim],[BF4],R227ea,313.15,0.163,0.0695,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
1468,1468,[hmim],[BF4],R227ea,313.15,0.182,0.0799,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
1469,1469,[hmim],[BF4],R227ea,313.15,0.218,0.1002,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
1470,1470,[hmim],[BF4],R227ea,323.15,0.1,0.0285,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
1471,1471,[hmim],[BF4],R227ea,323.15,0.135,0.0397,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
1472,1472,[hmim],[BF4],R227ea,323.15,0.191,0.0594,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
1473,1473,[hmim],[BF4],R227ea,323.15,0.214,0.0686,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
1474,1474,[hmim],[BF4],R227ea,323.15,0.258,0.0861,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
1475,1475,[hmim],[BF4],R227ea,333.15,0.114,0.0239,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
1476,1476,[hmim],[BF4],R227ea,333.15,0.153,0.0336,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
1477,1477,[hmim],[BF4],R227ea,333.15,0.217,0.0504,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
1478,1478,[hmim],[BF4],R227ea,333.15,0.244,0.0585,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
1479,1479,[hmim],[BF4],R227ea,333.15,0.296,0.0734,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
1480,1480,[hmim],[BF4],R227ea,343.15,0.126,0.0201,F[B-](F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,FC(F)(F)C(F)C(F)(F)F,Table S3. VLE HFCs
