refrigerant,family,n_test,gat_r2_mean,gat_r2_std,gat_mae_mean,gcn_r2_mean,gcn_r2_std,rf_r2,xgb_r2,mlp_r2,cci_ref_morgan_r2,nearest_ref_morgan_r2,cci_ref_morgan_r3,nearest_ref_morgan_r3,cci_ref_maccs,nearest_ref_maccs,ilcr_count,ilcr_sample,n_il_total,n_il_seen,n_il_unseen,d_chem,d_tp,z_ref_charge,z_ref_logp,z_cat_charge,z_cat_tpsa,z_t,z_p,fingerprint_version,dataset_version,timestamp
R32,HFC,672,,,,,,,,,0.42857142857142855,R161,0.42857142857142855,R161,0.5714285714285714,R161,0.7804878048780488,0.8928571428571429,41,32,9,1.3958927990842396,0.2943685123959061,2.1718198041183956,1.7515436481126925,0.019137408752699807,0.0948376134367545,0.3743364494794482,0.1821479200306112,Morgan_r2_r3_MACCS,v5_index_with_anion,2026-08-01 15:31:59
R152a,HFC,217,,,,,,,,,0.42857142857142855,R23,0.42857142857142855,R23,0.75,R134,1.0,1.0,9,9,0,0.8719256552890603,0.15126871474019066,1.576271185457487,0.7215595750424818,0.1620519582865515,0.09735237943411831,0.07565849550786073,0.20010057515106086,Morgan_r2_r3_MACCS,v5_index_with_anion,2026-08-01 15:31:59
R125,HFC,260,,,,,,,,,0.5454545454545454,R227ea,0.5454545454545454,R227ea,1.0,R227ea,1.0,1.0,17,17,0,0.5068351332005975,0.10967814817014886,0.9897745436382696,0.20313452772912027,0.06700199270094487,0.04605277809095291,0.06491706474734266,0.1408700361207293,Morgan_r2_r3_MACCS,v5_index_with_anion,2026-08-01 15:31:59
R161,HFC,155,,,,,,,,,0.42857142857142855,R32,0.42857142857142855,R32,0.5714285714285714,R32,1.0,1.0,6,6,0,0.93026050368758,0.23505235469187788,1.33635514421526,1.2336070002283632,0.3149202854365542,0.23394941808397468,0.3088889262654351,0.12282853952961958,Morgan_r2_r3_MACCS,v5_index_with_anion,2026-08-01 15:31:59
R1234yf,HFO,685,,,,,,,,,0.25,R14,0.25,R14,0.75,R1234ze(E),1.0,1.0,14,14,0,1.2275099743295128,0.0608692909643751,1.0806691429365416,2.2038295987209913,0.04843457511601845,0.008145155196198543,0.031506985778800865,0.08010899457705078,Morgan_r2_r3_MACCS,v5_index_with_anion,2026-08-01 15:31:59
R23,HFC,164,,,,,,,,,0.5,R134,0.5,R134,0.8,R125,0.8,0.6707317073170732,10,8,2,0.49965534458352645,0.5395644649270294,0.14537563847862078,0.8759203740234814,0.02558031937555691,0.4578175650318284,0.134662522261438,0.7510829705979032,Morgan_r2_r3_MACCS,v5_index_with_anion,2026-08-01 15:31:59
R134a,HFC,649,,,,,,,,,0.45454545454545453,R236fa,0.45454545454545453,R236fa,0.8571428571428571,R245fa,0.9130434782608695,0.901386748844376,23,21,2,0.35822868031607763,0.04529165814756557,0.625392247439316,0.315168713111087,0.0008966893173520524,0.15120702586508644,0.028624779529937375,0.05730000516906054,Morgan_r2_r3_MACCS,v5_index_with_anion,2026-08-01 15:31:59
R22,HCFC,184,,,,,,,,,0.45454545454545453,R124,0.45454545454545453,R124,0.8333333333333334,R114,1.0,1.0,4,4,0,0.4069152870437561,0.17152675999789527,0.6180440987903207,0.4150328089652483,0.22063729742906157,0.24373888843532016,0.13115761411771917,0.20406013586611815,Morgan_r2_r3_MACCS,v5_index_with_anion,2026-08-01 15:32:00
