refrigerant,gat_r2,max_tanimoto_sim,nearest_fp_neighbor,min_desc_distance,nearest_desc_neighbor
R32,0.9286,0.42857142857142855,R161,0.1768823263942113,R161
R152a,0.8222,0.42857142857142855,R23,0.17688232639421192,R23
R125,0.7731,0.5454545454545454,R227ea,0.37921102035102305,R1234ze(E)
R161,0.7489,0.42857142857142855,R32,0.1768823263942113,R32
R1234yf,0.5824,0.25,R14,0.20745495613987433,R236fa
R23,0.1894,0.5,R134,0.17688232639421192,R152a
R134a,0.0737,0.45454545454545453,R236fa,0.3400080105543721,R14
R22,-0.1207,0.45454545454545453,R124,0.05789324014622409,R14
