sample_id,npy_idx,excel_pos,cation,anion,refrigerant,T_K,P_MPa,x1,anion_smiles,cation_smiles,refri_smiles,sheet,ens_ae_v6,ens_ae_v7,delta_ae,abs_err_v7,pred_v7,pred_v6
[emim]__[BF4]__R32__283.15__0.7509,131,131,[emim],[BF4],R32,283.15,0.7509,0.5245,F[B-](F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.01603605699539179,0.005673299999999992,0.010362756995391798,0.005673299999999992,0.5188267,0.5084639430046082
[emim]__[BF4]__R32__323.15__0.6768,154,154,[emim],[BF4],R32,323.15,0.6768,0.1551,F[B-](F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.038055786395072955,0.030625452000000025,0.0074303343950729295,0.030625452000000025,0.185725452,0.19315578639507294
[emim]__[BF4]__R134a__283.15__0.2517,159,159,[emim],[BF4],R134a,283.15,0.2517,0.2073,F[B-](F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.02402510483264922,0.035893607999999966,-0.011868503167350747,0.035893607999999966,0.24319360799999998,0.23132510483264923
[emim]__[BF4]__R134a__283.15__0.389,166,166,[emim],[BF4],R134a,283.15,0.389,0.4096,F[B-](F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.05313592991828919,0.018270608000000077,0.034865321918289116,0.018270608000000077,0.39132939199999994,0.3564640700817108
[emim]__[BF4]__R134a__303.15__0.3952,178,178,[emim],[BF4],R134a,303.15,0.3952,0.1607,F[B-](F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.024488129544258108,0.019799967999999973,0.004688161544258135,0.019799967999999973,0.18049996799999998,0.18518812954425812
[emim]__[BF4]__R134a__323.15__0.4084,189,189,[emim],[BF4],R134a,323.15,0.4084,0.0805,F[B-](F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.007522343814373014,0.007699720000000007,-0.00017737618562699287,0.007699720000000007,0.08819972000000001,0.08802234381437302
[emim]__[BF4]__R125__333.15__0.586,202,202,[emim],[BF4],R125,333.15,0.5860000000000001,0.0465,F[B-](F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)(C(F)(F)F),Table S3. VLE HFCs,0.0018260356187820431,0.006810810200000003,-0.00498477458121796,0.006810810200000003,0.039689189799999997,0.04467396438121796
[emim]__[BF4]__R125__353.15__0.132,215,215,[emim],[BF4],R125,353.15,0.132,0.0105,F[B-](F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)(C(F)(F)F),Table S3. VLE HFCs,0.005186674416065214,0.0024874616800000006,0.0026992127360652134,0.0024874616800000006,0.012987461680000001,0.015686674416065215
[emim]__[OTf]__R32__273.16__0.399,220,220,[emim],[OTf],R32,273.16,0.399,0.369,FC(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.07092166519165038,0.051249766000000085,0.0196718991916503,0.051249766000000085,0.4202497660000001,0.4399216651916504
[emim]__[OTf]__R32__298.14__0.204,225,225,[emim],[OTf],R32,298.14,0.204,0.116,FC(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.007649632930755615,0.008040565999999985,-0.0003909330692443702,0.008040565999999985,0.12404056599999999,0.12364963293075562
[emim]__[OTf]__R32__298.12__0.505,228,228,[emim],[OTf],R32,298.12,0.505,0.274,FC(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.017816955804824786,0.008812686000000014,0.009004269804824772,0.008812686000000014,0.28281268600000004,0.2918169558048248
