model_key,family,seed,cohort,N,Control_MAE,Stereo_MAE,Delta_MAE,Bootstrap_CI_95,Control_R2,Stereo_R2,Delta_R2,Mean_Pert_True,Max_Pert_True,Mean_Pert_Z(s=2),Mean_Pert_E(s=3),Mean_Pert_Null_Unseen,Specificity_Ratio
V7B_Seed43,V7-B,Seed43,R1336mzz(E),11,0.20515991747379303,0.20516233146190643,2.4139881134033203e-06,"[+2.31e-06, +2.55e-06]",-27.43871307373047,-27.43935203552246,-0.0006389617919921875,2.4302439669554587e-06,2.7418136596679688e-06,4.4161623691252316e-07,2.4302439669554587e-06,2.4650132672832115e-06,0.9858944831317045
V7B_Seed43,V7-B,Seed43,R1336mzz(Z),12,0.2797194719314575,0.27971887588500977,-5.960464477539062e-07,"[-6.30e-07, -5.46e-07]",-3.1180901527404785,-3.1180758476257324,1.430511474609375e-05,5.873541226719681e-07,7.003545761108398e-07,5.873541226719681e-07,2.273668769703363e-06,2.295606691404828e-06,0.2558599733182323
V7B_Seed43,V7-B,Seed43,R1336mzz(Combined),23,0.24406053125858307,0.2440614104270935,8.791685104370117e-07,"[+1.88e-07, +1.46e-06]",-0.9993646144866943,-0.9993728399276733,-8.225440979003906e-06,1.4687361726828385e-06,2.7418136596679688e-06,5.176534045858716e-07,2.348552470721188e-06,2.376627435296541e-06,0.6179915004255088
V7B_Seed43,V7-B,Seed43,Full HFO Universe,1106,0.12109901010990143,0.121103934943676,4.92483377456665e-06,"[+4.36e-06, +5.45e-06]",-1.393627405166626,-1.3936834335327148,-5.602836608886719e-05,4.949210051563568e-06,4.00543212890625e-05,1.3404769561020657e-05,2.2950200218474492e-05,2.2840515157440677e-05,0.21668556075740353
V7B_Seed44,V7-B,Seed44,R1336mzz(E),11,0.25421181321144104,0.25421205163002014,2.384185791015625e-07,"[+2.28e-07, +2.87e-07]",-42.43406677246094,-42.43415451049805,-8.7738037109375e-05,2.5738370368344476e-07,3.5762786865234375e-07,2.1945346873053495e-07,2.5738370368344476e-07,2.3029069495805743e-07,1.1176421439354187
V7B_Seed44,V7-B,Seed44,R1336mzz(Z),12,0.27567970752716064,0.2756795585155487,-1.4901161193847656e-07,"[-1.66e-07, -1.25e-07]",-2.9957962036132812,-2.995792865753174,3.337860107421875e-06,1.477698532426075e-07,2.086162567138672e-07,1.477698532426075e-07,1.8129746592876472e-07,1.6225709487116546e-07,0.9107086667074343
V7B_Seed44,V7-B,Seed44,R1336mzz(Combined),23,0.26541247963905334,0.2654125392436981,5.960464477539063e-08,"[-4.54e-08, +1.28e-07]",-1.2698144912719727,-1.269815444946289,-9.5367431640625e-07,2.0019386681724427e-07,3.5762786865234375e-07,1.820533128693569e-07,2.1768653368781088e-07,1.9479487889384473e-07,1.027710996526478
V7B_Seed44,V7-B,Seed44,Full HFO Universe,1106,0.07398160547018051,0.07398170232772827,9.685754776000977e-08,"[+7.66e-08, +1.07e-07]",-0.18390274047851562,-0.18390357494354248,-8.344650268554688e-07,1.1608354810732635e-07,1.6689300537109375e-06,3.4415484151395503e-07,3.6396019709172833e-07,3.3578024272173934e-07,0.34571183061444666
V7B_Seed45,V7-B,Seed45,R1336mzz(E),11,0.22564712166786194,0.22565282881259918,5.707144737243652e-06,"[+5.17e-06, +6.23e-06]",-32.89368438720703,-32.89535903930664,-0.001674652099609375,5.692243576049805e-06,7.033348083496094e-06,5.635348315990996e-06,5.692243576049805e-06,5.1187748795200605e-06,1.112032194811294
V7B_Seed45,V7-B,Seed45,R1336mzz(Z),12,0.28251245617866516,0.2825087606906891,-3.6954879760742188e-06,"[-4.08e-06, -3.33e-06]",-3.1778063774108887,-3.177717685699463,8.869171142578125e-05,3.6942462884326233e-06,4.857778549194336e-06,3.6942462884326233e-06,3.706042889461969e-06,3.366213604749646e-06,1.0974482385110362
V7B_Seed45,V7-B,Seed45,R1336mzz(Combined),23,0.25531598925590515,0.255316823720932,8.344650268554688e-07,"[-1.30e-06, +2.69e-06]",-1.1333556175231934,-1.1333603858947754,-4.76837158203125e-06,4.649810307455482e-06,7.033348083496094e-06,4.622599135473138e-06,4.655964858102379e-06,4.20439528170391e-06,1.105940067469344
V7B_Seed45,V7-B,Seed45,Full HFO Universe,1106,0.054858919233083725,0.054860569536685944,1.650303602218628e-06,"[+1.28e-06, +2.01e-06]",0.2695586681365967,0.26954543590545654,-1.3232231140136719e-05,3.322571501485072e-06,2.1696090698242188e-05,2.2511067072628066e-05,2.2822507162345573e-05,2.1561230823863298e-05,0.15409933572569606
V7B_Seed46,V7-B,Seed46,R1336mzz(E),11,0.23129476606845856,0.23129740357398987,2.637505531311035e-06,"[+2.38e-06, +2.86e-06]",-34.447696685791016,-34.44847869873047,-0.000782012939453125,2.625313754833769e-06,3.2782554626464844e-06,2.683563707250869e-06,2.625313754833769e-06,2.632538098623627e-06,0.9972553707583545
V7B_Seed46,V7-B,Seed46,R1336mzz(Z),12,0.27754971385002136,0.2775481045246124,-1.6093254089355469e-06,"[-1.69e-06, -1.41e-06]",-3.0448083877563477,-3.0447707176208496,3.7670135498046875e-05,1.5497207641601562e-06,1.9222497940063477e-06,1.5497207641601562e-06,1.5099843722055084e-06,1.513709776190808e-06,1.0237892129300723
V7B_Seed46,V7-B,Seed46,R1336mzz(Combined),23,0.2554278075695038,0.2554282546043396,4.470348358154297e-07,"[-4.62e-07, +1.27e-06]",-1.1202671527862549,-1.1202704906463623,-3.337860107421875e-06,2.064134832835407e-06,3.2782554626464844e-06,2.0919935650454136e-06,2.0434026737348177e-06,2.0488018890318926e-06,1.0074833669386123
V7B_Seed46,V7-B,Seed46,Full HFO Universe,1106,0.13691309094429016,0.13690301775932312,-1.0073184967041016e-05,"[-1.12e-05, -8.87e-06]",-1.796238899230957,-1.7960748672485352,0.000164031982421875,1.016590977087617e-05,8.571147918701172e-05,1.3047781976638362e-05,1.2763744052790571e-05,1.2819386029150337e-05,0.7930105977578837
V7B_Ensemble,V7-B,Ensemble,R1336mzz(E),11,0.22851671278476715,0.22851921617984772,2.5033950805664062e-06,"[+2.30e-06, +2.71e-06]",-33.855918884277344,-33.85667037963867,-0.000751495361328125,2.504749772924697e-06,3.0100345611572266e-06,2.125447508660727e-06,2.504749772924697e-06,2.446951157253352e-06,1.0236202475393805
V7B_Ensemble,V7-B,Ensemble,R1336mzz(Z),12,0.27821341156959534,0.2782120406627655,-1.3709068298339844e-06,"[-1.46e-06, -1.29e-06]",-3.066399097442627,-3.066366195678711,3.2901763916015625e-05,1.377115609102475e-06,1.6242265701293945e-06,1.377115609102475e-06,1.6962488871286041e-06,1.6602376717855805e-06,0.8294684568583096
V7B_Ensemble,V7-B,Ensemble,R1336mzz(Combined),23,0.2544454038143158,0.2544459402561188,5.364418029785156e-07,"[-3.74e-07, +1.25e-06]",-1.1153228282928467,-1.1153268814086914,-4.0531158447265625e-06,1.916418796099606e-06,3.0100345611572266e-06,1.7350134839944076e-06,2.082923174384632e-06,2.036491878243396e-06,0.9410387910379724
V7B_Ensemble,V7-B,Ensemble,Full HFO Universe,1106,0.10142125189304352,0.10142066329717636,-5.885958671569824e-07,"[-6.98e-07, -4.89e-07]",-0.6999061107635498,-0.6999005079269409,5.602836608886719e-06,9.087653438655252e-07,8.434057235717773e-06,8.974139745987486e-06,9.849713933363091e-06,9.86013765214011e-06,0.09216557453462186
