split,distance_pair,n_species,spearman_rho,spearman_p,pearson_r,pearson_p
B1,D_FP_vs_D_phys,7,-0.6,0.15437725048441336,-0.17812324884993247,0.7023827846565538
M1_LORO,D_FP_vs_D_thermo,12,0.3581920637877777,0.2529315821922874,0.3310852532729731,0.29315709260915496
M1_LORO,D_FP_vs_D_phys,12,-0.014185824308426838,0.9650989383492282,0.14058788012317106,0.6629789965255188
M1_LORO,D_thermo_vs_D_phys,12,-0.1328671328671329,0.6805975082860817,-0.2166796186306921,0.4987663024913082
