split,target_family,N_total,N_train,N_val,N_test,test_pct,test_anions_count,train_anions_count,test_cations_count,test_refrigerants_count,T_span_test,P_span_test
B1_Fam2_Fluorosulfonate,Fam-2_Fluorosulfonate,2739,2003,223,513,18.73%,7,16,9,7,273.1 ~ 348.2 K,0.009 ~ 2.001 MPa
B2_Fam3_InorganicFluoride,Fam-3_InorganicFluoride,2739,1927,214,598,21.83%,2,21,3,12,282.6 ~ 353.1 K,0.009 ~ 2.057 MPa
