model_family,seed,case_id,sample_id,component,group_name,full_group_id,n_atoms,A_g_signed,A_g_abs,A_tilde_g,P_g_atom,P_g_graph
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Refri,CF3,Refri:CF3,4,-0.06421279907226562,0.09645562618970871,0.024113906547427177,0.18698033956155563,0.1860994143500048
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Refri,Halogenated_Alkene,Refri:Halogenated_Alkene,2,-0.030737757682800293,0.11744867265224457,0.058724336326122284,0.2276756013213645,0.2266029474919336
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Refri,Unclassified,Refri:Unclassified,3,-0.03570469096302986,0.05326356366276741,0.01775452122092247,0.10325203011315252,0.10276557620744368
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,-0.024138156324625015,0.05281827598810196,0.010563655197620392,0.1572323544159694,0.15626930536983125
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Cation,Alkyl_Chain,Cation:Alkyl_Chain,3,-0.009493288584053516,0.01351111475378275,0.004503704917927583,0.04022063090435115,0.03997427931614664
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Anion,CF3,Anion:CF3,8,0.02528821863234043,0.05684191733598709,0.007105239666998386,0.1692101516957582,0.16817373857459889
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Anion,Sulfonyl_SO2,Anion:Sulfonyl_SO2,6,0.020143192261457443,0.07538607716560364,0.012564346194267273,0.22441342851860382,0.22303889501957813
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Anion,Sulfonimide_N,Anion:Sulfonimide_N,1,0.01816016435623169,0.021906577050685883,0.021906577050685883,0.06521270568638188,0.06481327750100213
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Anion,Alkyl_Chain,Anion:Alkyl_Chain,2,0.010702375322580338,0.02480471506714821,0.012402357533574104,0.07384004263038678,0.07338777195819508
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Anion,Unclassified,Anion:Unclassified,4,0.007643136195838451,0.014322939328849316,0.003580734832212329,0.042637315033519134,0.04237616124156936
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Refri,CHF2,Refri:CHF2,6,-0.034821201115846634,0.07633336633443832,0.012722227722406387,0.22723337111502964,0.22584156545190176
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,0.02802847884595394,0.06071977689862251,0.012143955379724503,0.07880151661632448,0.07823409302083002
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,Cation,Alkyl_Chain,Cation:Alkyl_Chain,3,0.012113256379961967,0.017395103350281715,0.0057983677834272385,0.022575190419235603,0.02241263395754942
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,Anion,CF3,Anion:CF3,8,0.04520874470472336,0.08155578374862671,0.010194472968578339,0.10584227703858,0.10508014189231164
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,Anion,Sulfonyl_SO2,Anion:Sulfonyl_SO2,6,0.03431020304560661,0.11625910550355911,0.019376517583926518,0.1508798994672454,0.14979346333353005
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,Anion,Sulfonimide_N,Anion:Sulfonimide_N,1,0.02463558502495289,0.03259211406111717,0.03259211406111717,0.042297718287672634,0.04199314644156389
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,Anion,Alkyl_Chain,Anion:Alkyl_Chain,2,0.019520053640007973,0.03614312410354614,0.01807156205177307,0.04690618345595538,0.04656842758004897
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,Anion,Unclassified,Anion:Unclassified,4,0.012263751588761806,0.019914450123906136,0.004978612530976534,0.0258447733588355,0.025658673714390692
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,Refri,CF3,Refri:CF3,4,-0.08288343250751495,0.12431036680936813,0.031077591702342033,0.1613287455266003,0.16016707071659608
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,Refri,CH2F,Refri:CH2F,2,-0.022564904764294624,0.28165093064308167,0.14082546532154083,0.3655237490106384,0.36289173367885147
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,-0.02509000152349472,0.05472218990325928,0.010944437980651856,0.15526010607601198,0.1543276029597751
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,Cation,Alkyl_Chain,Cation:Alkyl_Chain,3,-0.00997031107544899,0.01416068710386753,0.00472022903462251,0.04017729893015007,0.03993599124718351
