sample_id,npy_idx,excel_pos,cation,anion,refrigerant,T_K,P_MPa,x1,anion_smiles,cation_smiles,refri_smiles,sheet,refrigerant_species_id,refrigerant_inchikey,refrigerant_formula
[emim]__[Ac]__R125__303.15__0.0486__#20,20,20,[emim],[Ac],R125,303.15,0.0486,0.0168,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FC(F)C(F)(F)F,Table S3. VLE HFCs,REF_R125,GTLACDSXYULKMZ-UHFFFAOYSA-N,C2HF5
[emim]__[Ac]__R125__303.15__0.0956__#21,21,21,[emim],[Ac],R125,303.15,0.0956,0.0465,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FC(F)C(F)(F)F,Table S3. VLE HFCs,REF_R125,GTLACDSXYULKMZ-UHFFFAOYSA-N,C2HF5
[emim]__[Ac]__R125__303.15__0.1488__#22,22,22,[emim],[Ac],R125,303.15,0.1488,0.0698,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FC(F)C(F)(F)F,Table S3. VLE HFCs,REF_R125,GTLACDSXYULKMZ-UHFFFAOYSA-N,C2HF5
[emim]__[Ac]__R125__303.15__0.2054__#23,23,23,[emim],[Ac],R125,303.15,0.2054,0.1062,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FC(F)C(F)(F)F,Table S3. VLE HFCs,REF_R125,GTLACDSXYULKMZ-UHFFFAOYSA-N,C2HF5
[emim]__[Ac]__R125__303.15__0.2399__#24,24,24,[emim],[Ac],R125,303.15,0.2399,0.1248,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FC(F)C(F)(F)F,Table S3. VLE HFCs,REF_R125,GTLACDSXYULKMZ-UHFFFAOYSA-N,C2HF5
[emim]__[Ac]__R125__303.15__0.3034__#25,25,25,[emim],[Ac],R125,303.15,0.3034,0.1724,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FC(F)C(F)(F)F,Table S3. VLE HFCs,REF_R125,GTLACDSXYULKMZ-UHFFFAOYSA-N,C2HF5
[emim]__[Ac]__R125__303.15__0.3499__#26,26,26,[emim],[Ac],R125,303.15,0.3499,0.2009,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FC(F)C(F)(F)F,Table S3. VLE HFCs,REF_R125,GTLACDSXYULKMZ-UHFFFAOYSA-N,C2HF5
[emim]__[Ac]__R125__303.15__0.3969__#27,27,27,[emim],[Ac],R125,303.15,0.3969,0.2399,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FC(F)C(F)(F)F,Table S3. VLE HFCs,REF_R125,GTLACDSXYULKMZ-UHFFFAOYSA-N,C2HF5
[emim]__[Ac]__R125__303.15__0.4553__#28,28,28,[emim],[Ac],R125,303.15,0.4553,0.2833,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FC(F)C(F)(F)F,Table S3. VLE HFCs,REF_R125,GTLACDSXYULKMZ-UHFFFAOYSA-N,C2HF5
[emim]__[Ac]__R125__303.15__0.494__#29,29,29,[emim],[Ac],R125,303.15,0.494,0.3067,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FC(F)C(F)(F)F,Table S3. VLE HFCs,REF_R125,GTLACDSXYULKMZ-UHFFFAOYSA-N,C2HF5
