species,chemical_class,N,M0_MAE,Mred_MAE,MAE_change,MAE_change_pct,M0_R2,Mred_R2,M0_sigma,Mred_sigma,Mred_rho_sigma_error
R1234yf,HFO,685,0.03202523425582286,0.02500710973141789,0.007018124524404971,21.91435812254497,0.7240448617780828,0.8017407311087031,0.03014436977675845,0.013434737677052234,0.4848633202251868
R1234ze(E),HFO,308,0.03907970149249995,0.030280849178125676,0.008798852314374276,22.51514719492656,0.543265703564519,0.761435996232406,0.047994058189835376,0.0158015570028259,0.5332372001674048
R1233zd(E),HCFO,90,0.02974043814506792,0.019270062532358655,0.010470375612709266,35.205855279054276,-0.4074091049990378,0.2307118840297987,0.017193780242776468,0.01649104795845572,0.6303082685105157
R1336mzz(E),HFO,11,0.11964540539546441,0.2884813180403276,-0.1688359126448632,-141.11357814937332,-9.066611048506314,-53.428129041766496,0.07739983164492957,0.021332434348088358,0.08181818181818183
R1336mzz(Z),HFO,12,0.28537594290574386,0.1536149289409319,0.13176101396481196,46.171030614283765,-3.308491368187881,-0.6738525179137944,0.02769550407639974,0.0116325544459493,-0.11188811188811189
