pair,M0_N,Mred_N,M0_MAE,Mred_MAE,M0_RMSE,Mred_RMSE,M0_R2,Mred_R2,M0_mean_sigma,Mred_mean_sigma,M0_rho,Mred_rho,delta_MAE_M0_minus_Mred,delta_MAE_pct
BMIM__OTF,50.0,50.0,0.043742929518222756,0.04067276830971237,0.06208554606173626,0.059675258454318376,0.8666727443136821,0.8768238723678404,0.01174825735877987,0.012095497473976195,0.455078031212485,0.22717887154861943,0.0030701612085103844,7.0186456241605715
EMIM__BF4,93.0,93.0,0.02644390028811266,0.02073556330575733,0.03249909381365003,0.025519401274465264,0.9436195792413569,0.9652362377241875,0.025374170047602524,0.015289652420343667,0.629450031332995,0.4374384530452686,0.00570833698235533,21.586592447262408
EMIM__OTF,114.0,114.0,0.02938788579531793,0.027408464389379297,0.04787786684031515,0.04453744360181421,0.8657283493575382,0.8838109198101016,0.01708663915572234,0.012853500467868938,-0.08231911058909297,0.3011725157449222,0.001979421405938632,6.735501218852541
HMIM__BF4,117.0,117.0,0.02695459211802376,0.026023805757554624,0.03872896263219253,0.03849071789759959,0.8946612888646411,0.8959533039460673,0.017744353825947443,0.015698605528120742,0.5822655816811281,0.22416041001663442,0.0009307863604691366,3.4531643305659463
