case_id,sample_id,seed,component,group_name,full_group_id,n_atoms,A_g_signed,A_g_abs,A_tilde_g,P_g,group_rank
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,46,Anion,Carboxylate_COO,Anion:Carboxylate_COO,3,0.0,0.0,0.0,0.0,3
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,46,Anion,Alkyl_Chain,Anion:Alkyl_Chain,1,0.0,0.0,0.0,0.0,4
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,46,Refri,CF3,Refri:CF3,4,0.0,0.0,0.0,0.0,5
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,46,Refri,Halogenated_Alkene,Refri:Halogenated_Alkene,3,0.0,0.0,0.0,0.0,6
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,42,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,0.0,0.0,0.0,0.0,1
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,42,Cation,Alkyl_Chain,Cation:Alkyl_Chain,3,0.0,0.0,0.0,0.0,2
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,42,Anion,BF4_Core,Anion:BF4_Core,5,0.0,0.0,0.0,0.0,3
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,42,Refri,CF3,Refri:CF3,4,0.0,0.0,0.0,0.0,4
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,42,Refri,Halogenated_Alkene,Refri:Halogenated_Alkene,3,0.0,0.0,0.0,0.0,5
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,43,Anion,BF4_Core,Anion:BF4_Core,5,-2.003676113915276e-10,2.659368142365892e-10,5.318736284731784e-11,0.28840874496679497,1
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,43,Refri,CF3,Refri:CF3,4,-1.647394720638573e-10,2.0813878051639811e-10,5.203469512909953e-11,0.22572671873195063,2
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,43,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,-6.877732498106193e-11,1.6665725396936004e-10,3.333145079387201e-11,0.18073996108772822,3
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,43,Cation,Alkyl_Chain,Cation:Alkyl_Chain,3,-1.1148158785001527e-10,1.4447970250741626e-10,4.8159900835805423e-11,0.15668838401692306,4
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,43,Refri,Halogenated_Alkene,Refri:Halogenated_Alkene,3,-9.617513556381407e-11,1.3587049541019525e-10,4.529016513673175e-11,0.14735169018159805,5
