split,mode,anion,n_samples,mean_mae,mean_cosine_stability,mean_spearman_stability
B2,M0,BF4,30,0.04776836351801952,0.9785543986161549,0.9563888888888887
B2,M0,PF6,30,0.04126753343269229,0.9778519181410471,0.9598888888888889
B2,Mreduced,BF4,30,0.03634608407815297,0.9790847247838974,0.9572727272727274
B2,Mreduced,PF6,30,0.04597097281366587,0.9800735777616502,0.9591375291375293
