case_id,sample_idx,sample_id,refrigerant,model_family,seed,cos_50_100,cos_100_200,d_rel_100_200_pct,rel_err_50_pct,rel_err_100_pct,rel_err_200_pct,spearman_rank_100_200
Case1_R1234yf,0,[emim]__[Ac]__R1234yf__313.15__0.311,R1234yf,V7-A,42,0.9999986886978149,0.9999996423721313,0.495786311076157,0.5822893725691254,0.35411114831979523,0.07454391450338378,0.9999193288157471
Case2_R134_vs_R134a,4,[emim]__[BEI]__R134__283.149__0.01,R134,V7-A,42,0.9999759197235107,0.9999955892562866,0.30465224146478426,1.1271777356741874,0.31831773241997885,0.10163219826735649,0.9996153431887168
Case3_BF4_vs_PF6,12,[bmim]__[BF4]__R32__283.1__0.01,R32,V7-A,42,0.9999863505363464,0.9999918937683105,0.5852111363680237,0.7730842690792094,0.09420798696847624,0.15073452245057917,1.0
Case4_R1336mzz_Stereo,20,[emim]__[Tf2N]__R1336mzz(E)__293.1__0.194,R1336mzz(E),V7-A,42,0.9999926090240479,0.9999956488609314,0.4691145562102409,0.2355275463091307,0.0660937924210951,0.0696127932867284,0.9994147945504439
Case1_R1234yf,0,[emim]__[Ac]__R1234yf__313.15__0.311,R1234yf,V7-A,43,0.9999842047691345,0.9999961853027344,0.8038275176806572,0.3135833932499484,0.2786637776804458,0.3602771388545542,1.0
Case2_R134_vs_R134a,4,[emim]__[BEI]__R134__283.149__0.01,R134,V7-A,43,0.9999895691871643,0.9999971389770508,0.24888582205071985,16.315678536650218,8.344374209573632,4.130556562427917,0.9997522920228783
Case3_BF4_vs_PF6,12,[bmim]__[BF4]__R32__283.1__0.01,R32,V7-A,43,0.9999889135360718,0.9999992847442627,0.2994991638164429,0.5987585294013168,0.3577998216648553,0.0838063863756795,1.0
Case4_R1336mzz_Stereo,20,[emim]__[Tf2N]__R1336mzz(E)__293.1__0.194,R1336mzz(E),V7-A,43,0.9999930262565613,0.9999980330467224,0.23691086639765635,9.421827700992168,4.623055522638888,2.3792309888286813,0.9994184687335028
Case1_R1234yf,0,[emim]__[Ac]__R1234yf__313.15__0.311,R1234yf,V7-B,42,0.9999943971633911,0.9999940395355225,0.5738555981806641,1.7007675789340637,1.3135946411594814,0.5811273320517987,1.0
Case2_R134_vs_R134a,4,[emim]__[BEI]__R134__283.149__0.01,R134,V7-B,42,0.9999994039535522,0.9999995827674866,0.3828134193962411,0.7311184567566235,0.6818609699541172,0.1712171296067887,0.9994319101762785
Case3_BF4_vs_PF6,12,[bmim]__[BF4]__R32__283.1__0.01,R32,V7-B,42,0.9999508857727051,0.9999944567680359,0.3993464054547563,1.3655908759768738,0.6321417971761565,0.4383589598200537,1.0
Case4_R1336mzz_Stereo,20,[emim]__[Tf2N]__R1336mzz(E)__293.1__0.194,R1336mzz(E),V7-B,42,0.9999966025352478,0.9999986290931702,0.33432391691747854,0.8114633612364839,0.35094833292917,0.19133153952849843,0.9996952086681128
Case1_R1234yf,0,[emim]__[Ac]__R1234yf__313.15__0.311,R1234yf,V7-B,43,0.9999905824661255,0.9999961256980896,0.29001865767888246,1.8885373282443694,0.7632496835698734,0.4462757810902772,1.0
Case2_R134_vs_R134a,4,[emim]__[BEI]__R134__283.149__0.01,R134,V7-B,43,0.9999983906745911,0.9999998807907104,0.0806322171683301,0.8017648417174675,0.12092873347735403,0.10629812272106708,0.999396882444688
Case3_BF4_vs_PF6,12,[bmim]__[BF4]__R32__283.1__0.01,R32,V7-B,43,0.9999984502792358,0.9999992251396179,0.323694891034778,0.5454190023808025,0.3766163946372032,0.18955812584280382,1.0
Case4_R1336mzz_Stereo,20,[emim]__[Tf2N]__R1336mzz(E)__293.1__0.194,R1336mzz(E),V7-B,43,0.9999908804893494,0.9999968409538269,0.2579609543030749,0.5166975961843491,0.29059635269568423,0.10395704665751737,0.9992645317086725
