case_id,sample_id,seed,top_group_name,top_group_component,top_k_atoms,delta_y_top,delta_y_rand_mean,delta_y_rand_comp_mean,delta_y_rand_glob_mean,r_faith,r_faith_comp,r_faith_glob,y_orig,y_base,comp_rel_err
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,Refri:CF3,Refri,4,3.725290298461914e-09,2.483526865641276e-09,2.483526865641276e-09,2.2351741790771484e-09,0.3725290298461914,0.3725290298461914,0.3725290298461914,0.016927845776081085,0.016927842050790787,0.003905688022998177
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,43,Refri:CF3,Refri,4,1.862645149230957e-09,2.4214386940002442e-09,2.4214386940002442e-09,2.359350522359212e-09,0.1862645149230957,0.1862645149230957,0.1862645149230957,0.015699559822678566,0.015699557960033417,0.0009830178893110997
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,44,Cation:Imidazolium_Ring,Cation,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04608844593167305,0.04608844593167305,0.0
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,45,Refri:Halogenated_Alkene,Refri,3,0.0257282555103302,0.007394825418790181,0.007394825418790181,0.0075545695920785265,3.479224194388004,3.479224194388004,3.405654709608871,0.10061883926391602,0.03215412795543671,0.018668263907827227
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,46,Refri:CF3,Refri,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04070329666137695,0.04070329666137695,6.080814062969859e-14
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,42,Anion:BF4_Core,Anion,5,7.450580596923828e-09,8.133550484975178e-09,8.133550484975178e-09,5.153318246205648e-09,0.7450580596923828,0.7450580596923828,0.7450580596923828,0.022991295903921127,0.022991301491856575,0.002552936084754265
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,43,Anion:BF4_Core,Anion,5,3.725290298461914e-09,2.7939677238464355e-09,2.7939677238464355e-09,1.4280279477437338e-09,0.3725290298461914,0.3725290298461914,0.3725290298461914,0.020700469613075256,0.02070046402513981,0.003328662456780762
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,44,Cation:Imidazolium_Ring,Cation,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05076078698039055,0.05076078698039055,0.0
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,45,Refri:Halogenated_Alkene,Refri,3,0.015725065022706985,0.015924186011155448,0.015924186011155448,0.010664321978886922,0.9874956881118463,0.9874956881118463,1.4745489730935781,0.054859500378370285,0.043267980217933655,0.11035392044221978
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,46,Refri:CF3,Refri,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049750249832868576,0.049750249832868576,9.372747977921411e-14
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,42,Refri:CF3,Refri,4,3.725290298461914e-09,3.228584925333659e-09,3.228584925333659e-09,4.967053731282552e-09,0.3725290298461914,0.3725290298461914,0.3725290298461914,0.03501364588737488,0.035013653337955475,0.0005046283391152429
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,43,Cation:Alkyl_Chain,Cation,5,3.725290298461914e-09,5.3395827611287435e-09,5.3395827611287435e-09,4.718701044718424e-09,0.3725290298461914,0.3725290298461914,0.3725290298461914,0.033292487263679504,0.033292487263679504,0.00551416023952811
