sample_id,split,mode,anion,refrigerant,true_x1,pred_x1,abs_error,IG_T,IG_P,IG_ref_charge,IG_ref_logp,IG_ani_mw,IG_cat_charge,IG_cat_tpsa,IG_ref_MW,IG_cat_MW,group_abs_thermo_state,group_share_thermo_state,group_abs_ref_physical,group_share_ref_physical,group_abs_anion_physical,group_share_anion_physical,group_abs_cation_physical,group_share_cation_physical,IG_Tr,IG_Pr,IG_omega,group_abs_reduced_priors,group_share_reduced_priors
[emim]__[BF4]__R32__283.15__0.0379,B2,M0,BF4,R32,0.026000000536441803,0.02246968410909176,0.003530316427350043,0.10986562818288803,-0.3001512885093689,0.08011235296726227,-0.12956175208091736,-0.14376971125602722,-0.009551200084388256,2.6701158276409842e-05,-0.11483864486217499,-0.027037566527724266,0.4100169241428375,0.4481476344455758,0.3245127499103546,0.35469175211189785,0.14376971125602722,0.15713999157231515,0.03661546856164932,0.040020630012587106,,,,,
[emim]__[BF4]__R32__293.15__0.0369,B2,M0,BF4,R32,0.021199999377131462,0.020162927731871606,0.0010370716452598565,0.05782243609428406,-0.2747989594936371,0.06930029392242432,-0.12491164356470108,-0.13242709636688232,-0.00798492506146431,0.0002834033512044698,-0.09813005477190018,-0.026078438386321068,0.33262139558792114,0.42011591229916107,0.2923419773578644,0.3692411797622194,0.13242709636688232,0.1672614303868371,0.03434676676988602,0.043381524602625926,,,,,
[emim]__[BF4]__R32__303.15__0.45,B2,M0,BF4,R32,0.18310000002384186,0.17490394413471222,0.008196055889129639,0.04527629539370537,0.07634935528039932,0.13996021449565887,-0.20439669489860535,-0.210492804646492,-0.013881091959774494,0.003960928879678249,-0.17299993336200714,-0.04764499142765999,0.12162564694881439,0.13292968251223866,0.517356812953949,0.5654405844225807,0.210492804646492,0.2300562619374549,0.06548701226711273,0.07157345484053955,,,,,
[emim]__[BF4]__R32__313.15__0.8307,B2,M0,BF4,R32,0.24230000376701355,0.3136727035045624,0.07137269973754884,-0.0022475961595773697,0.21831312775611877,0.20354565978050232,-0.18317779898643494,-0.1935143619775772,-0.012885794043540955,0.0013684650184586644,-0.23240509629249573,-0.04473854973912239,0.2205607295036316,0.201942358050583,0.6191285848617554,0.5668655823041461,0.1935143619775772,0.17717907744661582,0.05899281054735184,0.05401300266268561,,,,,
[emim]__[BF4]__R134a__283.15__0.2517,B2,M0,BF4,R134A,0.20730000734329224,0.22828478813171388,0.020984780788421642,0.27011388540267944,-0.08236617594957352,-0.2642689645290375,-0.059530097991228104,-0.34563112258911133,-0.017222881317138672,-0.004427009262144566,0.24199971556663513,-0.0721239522099495,0.35248005390167236,0.25961864516142763,0.5657987594604492,0.41673821181982457,0.34563112258911133,0.25457407526736264,0.09377384185791016,0.06906897994722844,,,,,
[emim]__[BF4]__R134a__283.15__0.3956,B2,M0,BF4,R134A,0.42660000920295715,0.36515934467315675,0.061440664529800404,0.28707045316696167,0.05845234915614128,-0.2988329529762268,-0.06685714423656464,-0.34684425592422485,-0.017499512061476707,-0.004675020929425955,0.2703889012336731,-0.07759453356266022,0.34552279114723206,0.24192630986927435,0.6360790133476257,0.4453664198924226,0.34684425592422485,0.2428515660471913,0.09976907074451447,0.06985577722432194,,,,,
[emim]__[BF4]__R134a__303.15__0.2685,B2,M0,BF4,R134A,0.10289999842643738,0.12334695905447006,0.02044696062803268,0.06294668465852737,-0.051547396928071976,-0.22630305588245392,-0.0515487864613533,-0.27783432602882385,-0.01292321365326643,-0.0038547434378415346,0.18999603390693665,-0.06628568470478058,0.11449408531188965,0.12138384862007769,0.46784788370132446,0.49600096404742405,0.27783432602882385,0.2945532049125155,0.08306363970041275,0.08806205350924402,,,,,
[emim]__[BF4]__R134a__313.15__0.4496,B2,M0,BF4,R134A,0.12449999898672104,0.18088003098964692,0.05638003200292588,-0.0029899582732468843,0.06999699771404266,-0.2622571289539337,-0.06317690759897232,-0.24464917182922363,-0.010371712036430836,-0.003475310280919075,0.2124900072813034,-0.07566652446985245,0.07298695296049118,0.07722884588038555,0.53792405128479,0.5691873953761788,0.24464917182922363,0.25886781704931067,0.08951354771852493,0.0947159416930669,,,,,
[emim]__[BF4]__R125__313.15__0.538,B2,M0,BF4,R125,0.07209999859333038,0.21937749087810515,0.14727749228477477,-0.0035065654665231705,0.11316011101007462,-0.344266802072525,-0.2970629334449768,-0.12400834262371063,-0.0029267813079059124,-0.007348492741584778,0.3861231207847595,-0.06268971413373947,0.11666667461395264,0.08699373558980959,1.0274529457092285,0.7661311182971703,0.12400834262371063,0.09246812772228809,0.07296498864889145,0.05440711283525346,,,,,
[emim]__[BF4]__R125__333.15__0.586,B2,M0,BF4,R125,0.04650000110268593,0.15066109448671341,0.10416109338402749,-0.11214707791805267,0.10938166081905365,-0.30131179094314575,-0.2422913759946823,-0.1051650270819664,-0.00021976111747790128,-0.004816366825252771,0.30535197257995605,-0.059468429535627365,0.22152873873710632,0.17863010579173977,0.8489551544189453,0.6845565496866055,0.1051650270819664,0.08480001294791925,0.06450455635786057,0.05201336761966518,,,,,
