split,mode,anion,n_samples,mean_mae,mean_IG_T,mean_IG_P,mean_IG_ref_charge,mean_IG_ref_logp,mean_IG_ani_mw,mean_IG_cat_charge,mean_IG_cat_tpsa,mean_IG_ref_MW,mean_IG_cat_MW,group_share_thermo_state,group_share_ref_physical,group_share_anion_physical,group_share_cation_physical,mean_IG_Tr,mean_IG_Pr,mean_IG_omega,group_share_reduced_priors
B2,M0,BF4,30,0.04776836351801951,0.006614758687404295,-0.07041110366893312,-0.08168424169222514,-0.16200588149949907,-0.1654653583963712,-0.00550226497167993,-0.002913276429353573,0.09692938377459843,-0.030178067507222295,0.26083142366584317,0.5311468575426521,0.16814318694249794,0.039878539677814046,,,,
B2,M0,PF6,30,0.04126753343269229,0.02805605549365282,-0.08948781428237756,-0.07198603798945745,-0.0972971519920975,-0.1165700743595759,-0.007349161307017008,-0.0029125402642724415,-0.005618547430882851,-0.029838298509518305,0.36366626015679604,0.4374735833804069,0.14604665529702834,0.052813493820705555,,,,
B2,Mreduced,BF4,30,0.03634608407815297,0.009658078375650803,-0.032903988581771654,-0.027014914775888126,-0.043217143540581066,-0.15092479363083838,-0.0023323131007297587,-0.0032926941581536084,0.01154213275294751,-0.026504898777542016,0.17578791887243514,0.30979903592640373,0.2365009926485948,0.056177440223416676,0.013129325809131842,-0.02869357753855487,-0.0012162033390874663,0.22173461924447302
B2,Mreduced,PF6,30,0.04597097281366587,0.013672259262239094,-0.019791069797550638,-0.016519535953799885,-0.0018162740704913934,-0.08173081936935583,-0.0037599967620432534,-0.003410469036801563,-0.011915579585668941,-0.023250815520683924,0.21687395894628428,0.22851583407755058,0.14491477823989532,0.05671844260994833,-0.03365351640871571,-0.03744500951531033,-0.026721881584186726,0.3529769838576216
