sample_id,split,mode,anion,refrigerant,abs_error,cosine_stability_5seeds,spearman_stability_5seeds
[bmim]__[PF6]__R125__298.15__0.4,B2,M0,PF6,R125,0.17393983155488968,0.9867189168930054,0.9833333333333334
[hmim]__[BF4]__R32__323.2__0.0539,B2,M0,BF4,R32,0.0027324017137289047,0.9878624618053437,0.9833333333333332
[hmim]__[BF4]__R152a__303.2__0.0326,B2,M0,BF4,R152A,0.01100343242287636,0.9928990364074707,0.9233333333333332
[hmim]__[BF4]__R143a__343.2__0.1569,B2,M0,BF4,R143A,0.020209760777652262,0.9781540870666504,0.9516666666666665
[hmim]__[BF4]__R134a__323__0.53,B2,M0,BF4,R134A,0.05817379355430602,0.9878771245479584,0.9633333333333333
[hmim]__[BF4]__R125__303.2__0.0954,B2,M0,BF4,R125,0.0316969744861126,0.984592205286026,0.9633333333333333
[hmim]__[BF4]__R245fa__303.15__0.04,B2,M0,BF4,R245FA,0.02087931782007217,0.9822222650051117,0.9466666666666667
[hmim]__[BF4]__R245fa__323.15__0.048,B2,M0,BF4,R245FA,0.002025467157363889,0.9817901968955993,0.9783333333333333
[hmim]__[BF4]__R245fa__343.15__0.05,B2,M0,BF4,R245FA,0.01909971088171005,0.9809978306293488,0.97
[hmim]__[BF4]__R236fa__313.15__0.05,B2,M0,BF4,R236FA,0.061674244701862335,0.9860601365566254,0.9400000000000001
[hmim]__[BF4]__R236fa__323.15__0.154,B2,M0,BF4,R236FA,0.04224465489387513,0.9922954797744751,0.95
[hmim]__[BF4]__R236fa__343.15__0.177,B2,M0,BF4,R236FA,0.05713498592376709,0.9883128702640533,0.9266666666666665
[hmim]__[BF4]__R227ea__313.15__0.116,B2,M0,BF4,R227EA,0.08416361138224601,0.9734732687473298,0.9466666666666665
[hmim]__[BF4]__R227ea__333.15__0.114,B2,M0,BF4,R227EA,0.06894067041575909,0.9237261474132538,0.9266666666666667
[hmim]__[BF4]__R227ea__343.15__0.332,B2,M0,BF4,R227EA,0.0998947262763977,0.9770059287548065,0.9633333333333333
[hmim]__[PF6]__R134a__323__0.34,B2,M0,PF6,R134A,0.005732208490371704,0.9854770779609681,0.9733333333333333
[hmim]__[PF6]__R134a__348__2.057,B2,M0,PF6,R134A,0.03496631383895876,0.986616849899292,0.9533333333333334
[emim]__[BF4]__R32__283.15__0.0379,B2,Mreduced,BF4,R32,0.0004739820957183824,0.978772634267807,0.9454545454545455
[emim]__[BF4]__R32__293.15__0.0369,B2,Mreduced,BF4,R32,0.0004599750041961656,0.9755504846572876,0.9566433566433569
[emim]__[BF4]__R32__303.15__0.45,B2,Mreduced,BF4,R32,0.0013870090246200506,0.9828523099422455,0.9503496503496505
[emim]__[BF4]__R32__313.15__0.8307,B2,Mreduced,BF4,R32,0.05155220627784729,0.9892965793609619,0.9720279720279723
[emim]__[BF4]__R134a__283.15__0.2517,B2,Mreduced,BF4,R134A,0.0012701362371444758,0.9907676696777343,0.960839160839161
[emim]__[BF4]__R134a__283.15__0.3956,B2,Mreduced,BF4,R134A,0.05699017643928528,0.994242912530899,0.9762237762237763
[emim]__[BF4]__R134a__303.15__0.2685,B2,Mreduced,BF4,R134A,0.008908626437187192,0.989861685037613,0.9496503496503497
[emim]__[BF4]__R134a__313.15__0.4496,B2,Mreduced,BF4,R134A,0.04494079500436782,0.9876840293407441,0.9307692307692308
[emim]__[BF4]__R125__313.15__0.538,B2,Mreduced,BF4,R125,0.13790447413921356,0.9714423477649688,0.9433566433566435
[emim]__[BF4]__R125__333.15__0.586,B2,Mreduced,BF4,R125,0.09722711369395257,0.9808550477027893,0.9643356643356645
[emim]__[BF4]__R125__353.15__0.536,B2,Mreduced,BF4,R125,0.06076072454452515,0.9821389734745025,0.93986013986014
[emim]__[PF6]__R23__332.9__0.04997,B2,Mreduced,PF6,R23,0.011718401964753867,0.9891848087310791,0.9615384615384617
[emim]__[PF6]__R23__347.9__0.40035,B2,Mreduced,PF6,R23,0.01922950968146324,0.9920844078063965,0.9223776223776226
[bmim]__[BF4]__R32__283.2__0.3995,B2,Mreduced,BF4,R32,0.10864925384521484,0.9870577096939087,0.9643356643356645
[bmim]__[BF4]__R32__298.2__0.6996,B2,Mreduced,BF4,R32,0.10655451416969297,0.9889729142189025,0.9734265734265735
[bmim]__[BF4]__R32__323.1__0.6995,B2,Mreduced,BF4,R32,0.03542535603046418,0.9843867003917695,0.9734265734265737
[bmim]__[BF4]__R32__348.1__0.8496,B2,Mreduced,BF4,R32,0.0072571367025375255,0.9643238544464111,0.9475524475524477
[bmim]__[BF4]__R125__298.15__0.05,B2,Mreduced,BF4,R125,0.025683180429041386,0.9814980328083038,0.9825174825174827
[bmim]__[PF6]__R41__283.12__1.2994,B2,Mreduced,PF6,R41,0.03836543560028072,0.9748006999492645,0.9783216783216785
[bmim]__[PF6]__R41__323.16__0.0999,B2,Mreduced,PF6,R41,0.004345941543579101,0.9718923449516297,0.9636363636363636
[bmim]__[PF6]__R41__348.15__0.9997,B2,Mreduced,PF6,R41,0.042732223868370056,0.9886770606040954,0.983916083916084
[bmim]__[PF6]__R32__298.1__0.0097,B2,Mreduced,PF6,R32,0.00032259933650493483,0.9801401615142822,0.9811188811188813
[bmim]__[PF6]__R32__323.1__0.5497,B2,Mreduced,PF6,R32,0.022677129507064825,0.9612074613571167,0.927972027972028
[bmim]__[PF6]__R32__298.15__0.05,B2,Mreduced,PF6,R32,0.0021051689982414246,0.9754547774791718,0.9748251748251748
[bmim]__[PF6]__R23__282.7__1.2997,B2,Mreduced,PF6,R23,0.05438748598098753,0.9850367426872253,0.990909090909091
[bmim]__[PF6]__R23__323.1__0.0498,B2,Mreduced,PF6,R23,0.004002511687576771,0.9854200899600982,0.958041958041958
[bmim]__[PF6]__R23__348.1__0.3997,B2,Mreduced,PF6,R23,0.013437266647815707,0.9921868979930878,0.9321678321678324
[bmim]__[PF6]__R161__297.98__0.01,B2,Mreduced,PF6,R161,0.01467472966760397,0.9796565771102905,0.9706293706293708
[bmim]__[PF6]__R161__323.13__0.3996,B2,Mreduced,PF6,R161,0.06934885680675507,0.9747459828853607,0.9524475524475526
[bmim]__[PF6]__R152a__283.2__0.0097,B2,Mreduced,PF6,R152A,0.027333703264594077,0.9897158920764924,0.9776223776223778
[bmim]__[PF6]__R152a__298.2__0.3482,B2,Mreduced,PF6,R152A,0.05182824730873109,0.9926196336746216,0.9776223776223777
[bmim]__[PF6]__R152a__348.1__0.1002,B2,Mreduced,PF6,R152A,0.022484491020441054,0.9686917424201965,0.948951048951049
[bmim]__[PF6]__R143a__285.4__0.6998,B2,Mreduced,PF6,R143A,0.17770940661430357,0.9768131852149964,0.960839160839161
[bmim]__[PF6]__R143a__323.1__0.1002,B2,Mreduced,PF6,R143A,0.01790827848017216,0.9654327690601349,0.9265734265734267
[bmim]__[PF6]__R143a__348.1__0.4002,B2,Mreduced,PF6,R143A,0.03386581987142563,0.9638268887996674,0.9146853146853149
[bmim]__[PF6]__R134__298.08__0.0504,B2,Mreduced,PF6,R134,0.02785965204238891,0.9914893388748169,0.9657342657342658
[bmim]__[PF6]__R134__323.13__0.2004,B2,Mreduced,PF6,R134,0.0446374922990799,0.9791290998458863,0.9433566433566437
[bmim]__[PF6]__R134a__283__0.01,B2,Mreduced,PF6,R134A,0.019243468437343834,0.9850053012371063,0.9741258741258744
[bmim]__[PF6]__R134a__298.2__0.1993,B2,Mreduced,PF6,R134A,0.027641993761062633,0.9727609753608704,0.9496503496503497
[bmim]__[PF6]__R134a__348.2__0.0097,B2,Mreduced,PF6,R134A,0.0012760914862155915,0.9827295064926147,0.9475524475524477
[bmim]__[PF6]__R125__283.3__0.3996,B2,Mreduced,PF6,R125,0.17266536355018614,0.9817734897136688,0.9944055944055945
[bmim]__[PF6]__R125__298.2__0.5995,B2,Mreduced,PF6,R125,0.17965712547302248,0.9768329977989196,0.9797202797202799
[bmim]__[PF6]__R125__348.2__0.0102,B2,Mreduced,PF6,R125,0.010475399345159531,0.981484305858612,0.9615384615384619
[bmim]__[PF6]__R125__298.15__0.4,B2,Mreduced,PF6,R125,0.14618369191884995,0.9788091957569123,0.9916083916083916
[hmim]__[BF4]__R32__323.2__0.0539,B2,Mreduced,BF4,R32,0.002517607435584067,0.9723670244216919,0.9447552447552449
[hmim]__[BF4]__R152a__303.2__0.0326,B2,Mreduced,BF4,R152A,0.000991520658135417,0.9858495771884919,0.9524475524475525
[hmim]__[BF4]__R143a__343.2__0.1569,B2,Mreduced,BF4,R143A,0.020389105938374993,0.9529504895210266,0.9097902097902099
[hmim]__[BF4]__R134a__323__0.53,B2,Mreduced,BF4,R134A,0.06898001730442047,0.989462012052536,0.9342657342657343
[hmim]__[BF4]__R125__303.2__0.0954,B2,Mreduced,BF4,R125,0.027150113880634305,0.9766854882240296,0.9503496503496505
[hmim]__[BF4]__R245fa__303.15__0.04,B2,Mreduced,BF4,R245FA,0.036987331509590146,0.9867738366127015,0.9636363636363638
[hmim]__[BF4]__R245fa__323.15__0.048,B2,Mreduced,BF4,R245FA,0.016295614093542098,0.9806670844554901,0.953846153846154
[hmim]__[BF4]__R245fa__343.15__0.05,B2,Mreduced,BF4,R245FA,0.00036608390510082384,0.9748238086700439,0.9643356643356645
[hmim]__[BF4]__R236fa__313.15__0.05,B2,Mreduced,BF4,R236FA,0.005692704021930693,0.9794432699680329,0.946853146853147
[hmim]__[BF4]__R236fa__323.15__0.154,B2,Mreduced,BF4,R236FA,0.0014345213770866339,0.9729277133941651,0.9748251748251751
[hmim]__[BF4]__R236fa__343.15__0.177,B2,Mreduced,BF4,R236FA,0.019222995638847357,0.9595615923404693,0.948951048951049
[hmim]__[BF4]__R227ea__313.15__0.116,B2,Mreduced,BF4,R227EA,0.046497736126184464,0.9720402300357819,0.9846153846153849
[hmim]__[BF4]__R227ea__333.15__0.114,B2,Mreduced,BF4,R227EA,0.037540916725993155,0.964478075504303,0.9832167832167835
[hmim]__[BF4]__R227ea__343.15__0.332,B2,Mreduced,BF4,R227EA,0.06087159365415573,0.9748076558113098,0.9755244755244755
[hmim]__[PF6]__R134a__323__0.34,B2,Mreduced,PF6,R134A,0.024378263950347895,0.9816112041473388,0.8818181818181818
[hmim]__[PF6]__R134a__348__2.057,B2,Mreduced,PF6,R134A,0.0966334342956543,0.9829937934875488,0.9804195804195805
