case_id,sample_id,refrigerant,cation,anion,cos_adebayo_median,cos_adebayo_mean,cos_adebayo_std,cos_adebayo_q05,cos_adebayo_q95,cos_adebayo_max,rho_adebayo_median,rho_adebayo_max,c_double_c_prio,c_double_c_over,cf3_prio,cf3_over,n_atoms_cat,n_atoms_ani,n_atoms_ref,n_elements_cat,n_elements_ani,n_elements_ref,raw_ratio_ani_cat,d_atom_cat,d_atom_ani,d_atom_ref,ratio_d_atom_ani_cat,d_graph_cat,d_graph_ani,d_graph_ref,ratio_d_graph_ani_cat
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,R1234yf,EMIM,AC,0.32408612966537476,0.1493488371372223,0.4776104045846815,-0.48223151415586474,0.7480415672063827,0.7573732137680054,-0.07151500484027107,0.5182316876411747,0.008687131106853485,0.008687131106853485,-0.01806754432618618,-0.018067542929202318,8,4,7,16,7,13,12.05454801911271,0.0014913909835740924,0.035956088453531265,0.010691418179443904,24.10909603822542,0.0007459768297053415,0.020564700938328833,0.005780709790997207,27.567479470443907
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,R134,[emim],[BEI],-0.018215802032500505,0.043118149507790804,0.1598456518203744,-0.15172843001782893,0.27898333668708797,0.30288541316986084,-0.02006410367099374,0.3572461066926492,0.0,0.0,0.0,0.0,8,21,6,16,41,11,10.822293712480665,0.0024232161231338978,0.00999038347176143,0.01179384191830953,4.122778557135492,0.0012124439396075104,0.005124280811997312,0.006436174945106773,4.226406388452181
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,R32,[bmim],[BF4],0.027488511987030506,-0.0037403708323836327,0.3791708347644818,-0.6353840678930283,0.4683242827653882,0.6038504838943481,0.001683339746056181,0.2586571758368603,0.0,0.0,0.0,0.0,10,5,3,20,9,5,2.8772527548267504,0.0010039730928838252,0.005777368694543839,0.006482239812612534,5.754505509653502,0.0005026417576573294,0.0032102110125278058,0.0038922263487620513,6.386677914484639
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__293.1__0.194,R1336mzz(E),EMIM,TF2N,-0.04046772699803114,-0.020906871743500234,0.15816436041968834,-0.21857045069336892,0.23390143066644667,0.2411348521709442,-0.023228840503538996,0.4659219910560249,0.08282791078090668,0.08282791078090668,-0.03889080882072449,-0.03889080532826483,8,15,10,16,29,19,6.622249326856806,0.0061252908781170845,0.021633708477020265,0.021421784162521364,3.5318663076569634,0.0030654208069336164,0.01120724824080565,0.011318993751621364,3.656022760547651
