dataset,split,mode,quantile,n_samples,sigma_range,mean_sigma,mean_mae
M1_LORO,loro_R227ea,M0,Q2,13,"[0.0701, 0.0775]",0.07382777422113146,0.04814077409414146
M1_LORO,loro_R227ea,M0,Q3,14,"[0.0775, 0.0835]",0.08052215195208468,0.05709278695285321
M1_LORO,loro_R227ea,M0,Q4,14,"[0.0835, 0.1006]",0.09040173324102611,0.07486446478537152
M1_LORO,loro_R227ea,Mreduced,Q1,14,"[0.0216, 0.0277]",0.02517056997458696,0.04541690809918301
M1_LORO,loro_R227ea,Mreduced,Q2,13,"[0.0277, 0.0308]",0.029511099825978385,0.040823550780232136
M1_LORO,loro_R227ea,Mreduced,Q3,14,"[0.0308, 0.0361]",0.032873210761439245,0.041907498346907754
M1_LORO,loro_R227ea,Mreduced,Q4,14,"[0.0361, 0.0489]",0.04113372013358003,0.025107476008789882
M1_LORO,loro_R23,M0,Q1,24,"[0.0000, 0.0250]",0.014402414371494051,0.012545682621809348
M1_LORO,loro_R23,M0,Q2,24,"[0.0250, 0.0492]",0.03399833346259879,0.028717370288601773
M1_LORO,loro_R23,M0,Q3,24,"[0.0492, 0.1207]",0.0790287610781779,0.05391216966478776
M1_LORO,loro_R23,M0,Q4,25,"[0.1207, 0.2862]",0.1868499898995447,0.11723773840069775
M1_LORO,loro_R23,Mreduced,Q1,24,"[0.0072, 0.0181]",0.011986478677529286,0.014767767640296378
M1_LORO,loro_R23,Mreduced,Q2,24,"[0.0181, 0.0263]",0.022212774484945425,0.02276009844305615
M1_LORO,loro_R23,Mreduced,Q3,24,"[0.0263, 0.0356]",0.030381231599278014,0.03546010707505049
M1_LORO,loro_R23,Mreduced,Q4,25,"[0.0356, 0.0924]",0.05319488448790418,0.04840175496041775
M1_LORO,loro_R236fa,M0,Q1,0,"[0.0000, 0.0000]",,
M1_LORO,loro_R236fa,M0,Q2,27,"[0.0000, 0.0123]",0.002267642966654266,0.07200797654136461
M1_LORO,loro_R236fa,M0,Q3,14,"[0.0123, 0.0238]",0.017374940493447892,0.10420926008373498
M1_LORO,loro_R236fa,M0,Q4,14,"[0.0238, 0.0380]",0.03067088350782091,0.18299976922571656
M1_LORO,loro_R236fa,Mreduced,Q1,14,"[0.0358, 0.0425]",0.04048830962276012,0.006944273571882936
M1_LORO,loro_R236fa,Mreduced,Q2,13,"[0.0425, 0.0551]",0.04517299489326006,0.01321835582359479
M1_LORO,loro_R236fa,Mreduced,Q3,14,"[0.0551, 0.0614]",0.0589875057721767,0.020250915749264624
