dataset,split,mode,coverage,retained_samples,retained_mae,risk_reduction_pct
M1_LORO,loro_R152a,M0,0.7,69,0.0702067560934718,-0.7404846299360316
M1_LORO,loro_R152a,M0,0.6,59,0.07430416895234485,-6.619909632598772
M1_LORO,loro_R152a,M0,0.5,49,0.08389581852801599,-20.383078313504114
M1_LORO,loro_R152a,Mreduced,1.0,98,0.045637610718151755,0.0
M1_LORO,loro_R152a,Mreduced,0.95,93,0.04461856578546827,2.2329059664777127
M1_LORO,loro_R152a,Mreduced,0.9,88,0.045210528691214606,0.9358115383706601
M1_LORO,loro_R152a,Mreduced,0.85,83,0.04634087528719242,-1.540975870502681
M1_LORO,loro_R152a,Mreduced,0.8,78,0.04566002539239634,-0.04911447793139402
M1_LORO,loro_R152a,Mreduced,0.75,74,0.045723435579723616,-0.1880573067286474
M1_LORO,loro_R152a,Mreduced,0.7,69,0.045355897423797774,0.6172831792045017
M1_LORO,loro_R152a,Mreduced,0.6,59,0.045590129261047156,0.10404019044255991
M1_LORO,loro_R152a,Mreduced,0.5,49,0.04407090023920244,3.4329371198351937
M1_LORO,loro_R161,M0,1.0,84,0.1051478977060123,0.0
M1_LORO,loro_R161,M0,0.95,80,0.10019968359381892,4.70595629598635
M1_LORO,loro_R161,M0,0.9,76,0.09564420089346208,9.03840877458342
M1_LORO,loro_R161,M0,0.85,71,0.08760428553132314,16.6847008427502
M1_LORO,loro_R161,M0,0.8,67,0.08326006377838664,20.81623542186533
M1_LORO,loro_R161,M0,0.75,63,0.07630242525141627,27.433237453064795
M1_LORO,loro_R161,M0,0.7,59,0.07096739011832465,32.50707654018386
M1_LORO,loro_R161,M0,0.6,50,0.05752442019619049,45.29189698397434
M1_LORO,loro_R161,M0,0.5,42,0.05219617396637442,50.35927954326578
M1_LORO,loro_R161,Mreduced,1.0,84,0.059598634051646865,0.0
M1_LORO,loro_R161,Mreduced,0.95,80,0.05741701459162869,3.6605192295642692
M1_LORO,loro_R161,Mreduced,0.9,76,0.056968061014470696,4.413814308053725
M1_LORO,loro_R161,Mreduced,0.85,71,0.05732732404311988,3.8110101761035597
M1_LORO,loro_R161,Mreduced,0.8,67,0.05449787933907624,8.55850942514962
M1_LORO,loro_R161,Mreduced,0.75,63,0.05545826432043834,6.947088296722654
M1_LORO,loro_R161,Mreduced,0.7,59,0.053103618963100646,10.897926088235147
M1_LORO,loro_R161,Mreduced,0.6,50,0.05076985340006649,14.813729864898493
M1_LORO,loro_R161,Mreduced,0.5,42,0.056337682913900136,5.47151992597827
M1_LORO,loro_R227ea,M0,1.0,55,0.05561502581292933,0.0
M1_LORO,loro_R227ea,M0,0.95,52,0.05351545227548252,3.775191158787001
M1_LORO,loro_R227ea,M0,0.9,50,0.052781606435775764,5.094701181447367
M1_LORO,loro_R227ea,M0,0.85,47,0.051307973979001345,7.7444031913524505
M1_LORO,loro_R227ea,M0,0.8,44,0.0500276106833057,10.046592711145841
M1_LORO,loro_R227ea,M0,0.75,41,0.049042046651607614,11.81871097827242
M1_LORO,loro_R227ea,M0,0.7,38,0.04810941072278902,13.49566053495459
M1_LORO,loro_R227ea,M0,0.6,33,0.04668323212500776,16.060036936717772
M1_LORO,loro_R227ea,M0,0.5,28,0.044575358661157756,19.850151987531913
M1_LORO,loro_R227ea,Mreduced,1.0,55,0.038268227536569936,0.0
M1_LORO,loro_R227ea,Mreduced,0.95,52,0.03981966692954301,-4.054118763380101
M1_LORO,loro_R227ea,Mreduced,0.9,50,0.040682558372616764,-6.308969585120298
M1_LORO,loro_R227ea,Mreduced,0.85,47,0.04144783237196029,-8.308732962225278
M1_LORO,loro_R227ea,Mreduced,0.8,44,0.04210430954328991,-10.024195667421845
M1_LORO,loro_R227ea,Mreduced,0.75,41,0.04276214269239728,-11.74320172402253
M1_LORO,loro_R227ea,Mreduced,0.7,38,0.04301755951815529,-12.410640072229095
M1_LORO,loro_R227ea,Mreduced,0.6,33,0.0433540624876817,-13.28996736588239
M1_LORO,loro_R227ea,Mreduced,0.5,28,0.042957083455153866,-12.252608026078967
M1_LORO,loro_R23,M0,1.0,97,0.05376442063734244,0.0
M1_LORO,loro_R23,M0,0.95,92,0.049756159112059876,7.455230573987811
M1_LORO,loro_R23,M0,0.9,87,0.04474983029174565,16.766832486493204
M1_LORO,loro_R23,M0,0.85,82,0.04105876615702561,23.632086665678738
M1_LORO,loro_R23,M0,0.8,78,0.03743918945606894,30.36437664118472
M1_LORO,loro_R23,M0,0.75,73,0.03154469745437781,41.327931966092414
M1_LORO,loro_R23,M0,0.7,68,0.029749941416358693,44.66611736220278
M1_LORO,loro_R23,M0,0.6,58,0.023015111679982016,57.19267238974632
M1_LORO,loro_R23,M0,0.5,48,0.02063152645520556,61.62606011441739
M1_LORO,loro_R23,Mreduced,1.0,97,0.030533559070227995,0.0
M1_LORO,loro_R23,Mreduced,0.95,92,0.030149336567189062,1.2583613399119686
M1_LORO,loro_R23,Mreduced,0.9,87,0.0288992073204925,5.35264083029575
M1_LORO,loro_R23,Mreduced,0.85,82,0.028695717725403067,6.019086542115333
M1_LORO,loro_R23,Mreduced,0.8,78,0.026107573956967556,14.495477265131642
M1_LORO,loro_R23,Mreduced,0.75,73,0.02524219521589272,17.329666162287204
M1_LORO,loro_R23,Mreduced,0.7,68,0.0217992165386129,28.605713836129866
M1_LORO,loro_R23,Mreduced,0.6,58,0.020571276800835443,32.62732079964553
M1_LORO,loro_R23,Mreduced,0.5,48,0.01876393304167626,38.54652515771674
M1_LORO,loro_R236fa,M0,1.0,55,0.10845712321725758,0.0
M1_LORO,loro_R236fa,M0,0.95,52,0.10323559967800973,4.814366621902989
M1_LORO,loro_R236fa,M0,0.9,50,0.09852368330210444,9.158863540253424
M1_LORO,loro_R236fa,M0,0.85,47,0.09267651845324543,14.550086057880204
M1_LORO,loro_R236fa,M0,0.8,44,0.08813476880842985,18.737685276898485
M1_LORO,loro_R236fa,M0,0.75,41,0.08300353677534472,23.4688010218795
M1_LORO,loro_R236fa,M0,0.7,38,0.08077361718016234,25.524838955612527
M1_LORO,loro_R236fa,M0,0.6,33,0.07557759511877186,30.315692619490353
M1_LORO,loro_R236fa,M0,0.5,28,0.07086781163566876,34.658222960875705
M1_LORO,loro_R236fa,Mreduced,1.0,55,0.02319874212823131,0.0
M1_LORO,loro_R236fa,Mreduced,0.95,52,0.02067177180344096,10.892704056204817
M1_LORO,loro_R236fa,Mreduced,0.9,50,0.019794350050389774,14.67489943645961
M1_LORO,loro_R236fa,Mreduced,0.85,47,0.01710501210962205,26.26750185387681
M1_LORO,loro_R236fa,Mreduced,0.8,44,0.015688614250922748,32.37299606933964
M1_LORO,loro_R236fa,Mreduced,0.75,41,0.013477348200068247,41.90483205696217
M1_LORO,loro_R236fa,Mreduced,0.7,38,0.011879066681783457,48.79435007242297
M1_LORO,loro_R236fa,Mreduced,0.6,33,0.010906535940188358,52.986520217767165
M1_LORO,loro_R236fa,Mreduced,0.5,28,0.009912797901779421,57.27010608167322
M1_LORO,loro_R245fa,M0,1.0,55,0.08945476900786158,0.0
M1_LORO,loro_R245fa,M0,0.95,52,0.08714449565069603,2.582616201225129
M1_LORO,loro_R245fa,M0,0.9,50,0.08756957228854295,2.1074300903431396
M1_LORO,loro_R245fa,M0,0.85,47,0.08584867984928347,4.031187155892367
M1_LORO,loro_R245fa,M0,0.8,44,0.08263823350214142,7.620091786410067
M1_LORO,loro_R245fa,M0,0.75,41,0.07933253587746036,11.315476237506843
M1_LORO,loro_R245fa,M0,0.7,38,0.07407509159100682,17.192685853901356
M1_LORO,loro_R245fa,M0,0.6,33,0.06890309263359415,22.974377556618897
M1_LORO,loro_R245fa,M0,0.5,28,0.0632197399889784,29.327703050216986
M1_LORO,loro_R245fa,Mreduced,1.0,55,0.058452202528715136,0.0
M1_LORO,loro_R245fa,Mreduced,0.95,52,0.05533926029904531,5.325620070758782
M1_LORO,loro_R245fa,Mreduced,0.9,50,0.05484704630076886,6.167699542502636
M1_LORO,loro_R245fa,Mreduced,0.85,47,0.055486478434598197,5.073759355192822
M1_LORO,loro_R245fa,Mreduced,0.8,44,0.05274406705390324,9.76547542756447
M1_LORO,loro_R245fa,Mreduced,0.75,41,0.05164271058832727,11.649675539673026
M1_LORO,loro_R245fa,Mreduced,0.7,38,0.04959777546556372,15.148149565111085
M1_LORO,loro_R245fa,Mreduced,0.6,33,0.042971215826092334,26.484864612274684
M1_LORO,loro_R245fa,Mreduced,0.5,28,0.04067962534193481,30.405316511468317
M1_LORO,loro_R32,M0,1.0,287,0.06307171293524604,0.0
M1_LORO,loro_R32,M0,0.95,273,0.05951386127525415,5.640962476545762
M1_LORO,loro_R32,M0,0.9,258,0.058594529901797233,7.098559441449451
M1_LORO,loro_R32,M0,0.85,244,0.05597255128458692,11.255698189056048
M1_LORO,loro_R32,M0,0.8,230,0.05366051959481253,14.92141707027319
M1_LORO,loro_R32,M0,0.75,215,0.052621329910620004,16.56904900514617
M1_LORO,loro_R32,M0,0.7,201,0.05190230527410831,17.70906027652213
M1_LORO,loro_R32,M0,0.6,172,0.050752503538049415,19.53206726737295
M1_LORO,loro_R32,M0,0.5,144,0.050103257868775265,20.561444208412606
M1_LORO,loro_R32,Mreduced,1.0,287,0.11166124900913303,0.0
M1_LORO,loro_R32,Mreduced,0.95,273,0.10296537015593915,7.787732029114795
M1_LORO,loro_R32,Mreduced,0.9,258,0.09629696329239787,13.75972940753912
M1_LORO,loro_R32,Mreduced,0.85,244,0.09284356854527763,16.852471766920914
M1_LORO,loro_R32,Mreduced,0.8,230,0.09316061474747309,16.568536019283407
M1_LORO,loro_R32,Mreduced,0.75,215,0.09442670895653063,15.434665298426625
M1_LORO,loro_R32,Mreduced,0.7,201,0.09080981073474781,18.673835784050503
M1_LORO,loro_R32,Mreduced,0.6,172,0.08730497985136113,21.812642589892356
M1_LORO,loro_R32,Mreduced,0.5,144,0.07971863962722842,28.606709727285924
M1_LORO,loro_R41,M0,1.0,39,0.02643583569054802,0.0
M1_LORO,loro_R41,M0,0.95,37,0.022739797541116536,13.981166295238326
M1_LORO,loro_R41,M0,0.9,35,0.01989532414557678,24.74108108982446
M1_LORO,loro_R41,M0,0.85,33,0.01724585840252764,34.763331848465846
M1_LORO,loro_R41,M0,0.8,31,0.015756799872483938,40.396059133785236
M1_LORO,loro_R41,M0,0.75,29,0.014828628369061084,43.90709435993743
M1_LORO,loro_R41,M0,0.7,27,0.015443993790972011,41.57932447547356
M1_LORO,loro_R41,M0,0.6,23,0.016697703824257074,36.836860314473654
M1_LORO,loro_R41,M0,0.5,20,0.013705046852119268,48.15731565081777
M1_LORO,loro_R41,Mreduced,1.0,39,0.02895130144241146,0.0
M1_LORO,loro_R41,Mreduced,0.95,37,0.02923182115915256,-0.9689364649084835
M1_LORO,loro_R41,Mreduced,0.9,35,0.028706048027213125,0.8471239736361461
M1_LORO,loro_R41,Mreduced,0.85,33,0.028245507798750288,2.437864995689757
M1_LORO,loro_R41,Mreduced,0.8,31,0.027100933807331227,6.391310728330801
M1_LORO,loro_R41,Mreduced,0.75,29,0.025848098002888002,10.718701007953655
M1_LORO,loro_R41,Mreduced,0.7,27,0.02469220752655355,14.711234741311696
M1_LORO,loro_R41,Mreduced,0.6,23,0.023068450909593818,20.31981375524526
M1_LORO,loro_R41,Mreduced,0.5,20,0.020957272164523585,27.611985919835814
Split_B,B1,M0,1.0,513,0.028719906397998974,0.0
Split_B,B1,M0,0.95,487,0.027551884599817913,4.066941521308167
Split_B,B1,M0,0.9,462,0.025984261352044746,9.525257527109598
Split_B,B1,M0,0.85,436,0.024992810804268708,12.977394640777614
Split_B,B1,M0,0.8,410,0.024220524152468254,15.666423780003022
Split_B,B1,M0,0.75,385,0.023341773446746074,18.726150693957745
Split_B,B1,M0,0.7,359,0.02188004782153579,23.815741185492662
Split_B,B1,M0,0.6,308,0.0219698303962707,23.50312674486494
Split_B,B1,M0,0.5,256,0.020128179329913114,29.915581718903088
Split_B,B1,Mreduced,1.0,513,0.029218730483146035,0.0
Split_B,B1,Mreduced,0.95,487,0.027565081996051503,5.659549404613559
Split_B,B1,Mreduced,0.9,462,0.02577078580973243,11.8004602404011
Split_B,B1,Mreduced,0.85,436,0.023476757440895463,19.65168557053723
Split_B,B1,Mreduced,0.8,410,0.02256579408217676,22.769423212301533
Split_B,B1,Mreduced,0.75,385,0.02073623708630731,29.031012835179826
Split_B,B1,Mreduced,0.7,359,0.019211547902959054,34.24920390007817
Split_B,B1,Mreduced,0.6,308,0.017261698805460975,40.92248869122538
Split_B,B1,Mreduced,0.5,256,0.013876263713973458,52.509012251652855
Split_B,B1,Mthermo,1.0,513,0.028765866526386196,0.0
Split_B,B1,Mthermo,0.95,487,0.027565856212157246,4.171646674117086
Split_B,B1,Mthermo,0.9,462,0.027494237680004273,4.420617210385407
Split_B,B1,Mthermo,0.85,436,0.027389636806665212,4.784245656075068
Split_B,B1,Mthermo,0.8,410,0.0277000673546842,3.7050827956959513
Split_B,B1,Mthermo,0.75,385,0.02733253914088785,4.982736689623419
Split_B,B1,Mthermo,0.7,359,0.026599910317772278,7.52960529322884
Split_B,B1,Mthermo,0.6,308,0.026741334805325548,7.037965358017624
Split_B,B1,Mthermo,0.5,256,0.027472431655769472,4.496422415887556
Split_B,B2,M0,1.0,598,0.05182022960372985,0.0
Split_B,B2,M0,0.95,568,0.04981470057264489,3.8701662389790115
Split_B,B2,M0,0.9,538,0.046210890975097015,10.82461168452464
Split_B,B2,M0,0.85,508,0.044339517372665845,14.435891713080274
Split_B,B2,M0,0.8,478,0.04130177785984385,20.297964374764025
Split_B,B2,M0,0.75,448,0.040985969602011854,20.907394823542393
Split_B,B2,M0,0.7,419,0.04003818290044725,22.736384599952775
Split_B,B2,M0,0.6,359,0.03563335154219829,31.236600426730813
Split_B,B2,M0,0.5,299,0.03127935158834796,39.6387244372677
Split_B,B2,Mreduced,1.0,598,0.047248512265283336,0.0
Split_B,B2,Mreduced,0.95,568,0.04458540324437347,5.636387037876394
Split_B,B2,Mreduced,0.9,538,0.04163858808051677,11.873229263323397
Split_B,B2,Mreduced,0.85,508,0.03876936324880326,17.945853974983848
Split_B,B2,Mreduced,0.8,478,0.03618893518359069,23.407249353370354
Split_B,B2,Mreduced,0.75,448,0.03478695568529864,26.37449515874184
Split_B,B2,Mreduced,0.7,419,0.03328101109598845,29.561779831018608
Split_B,B2,Mreduced,0.6,359,0.028187416444926894,40.34221376820348
Split_B,B2,Mreduced,0.5,299,0.02306337688705357,51.18708339944963
Split_B,B2,Mthermo,1.0,598,0.049828619194445964,0.0
Split_B,B2,Mthermo,0.95,568,0.049167183383645056,1.327421512965852
Split_B,B2,Mthermo,0.9,538,0.0469673014828004,5.742317884587286
Split_B,B2,Mthermo,0.85,508,0.04358707149224319,12.526029826045178
Split_B,B2,Mthermo,0.8,478,0.040841628768175424,18.03580065343704
Split_B,B2,Mthermo,0.75,448,0.03920511834320288,21.32007874789195
Split_B,B2,Mthermo,0.7,419,0.03797435860037315,23.790064396153536
Split_B,B2,Mthermo,0.6,359,0.036606762029586,26.53466497488999
Split_B,B2,Mthermo,0.5,299,0.033403427457907246,32.9633692485894
M1_LORO,ALL_12_REFRIGERANTS,M0,1.0,1403,0.10004089327188209,0.0
M1_LORO,ALL_12_REFRIGERANTS,M0,0.95,1333,0.09633399535200035,3.7053826676731774
M1_LORO,ALL_12_REFRIGERANTS,M0,0.9,1263,0.09668474562935493,3.354775764952564
M1_LORO,ALL_12_REFRIGERANTS,M0,0.85,1193,0.0967680952184828,3.2714602462662725
M1_LORO,ALL_12_REFRIGERANTS,M0,0.8,1122,0.09596719270617304,4.072035377211111
M1_LORO,ALL_12_REFRIGERANTS,M0,0.75,1052,0.09668022341277724,3.35929613300386
M1_LORO,ALL_12_REFRIGERANTS,M0,0.7,982,0.09779568713449052,2.24428837444479
M1_LORO,ALL_12_REFRIGERANTS,M0,0.6,842,0.10323411297877684,-3.191914428649197
M1_LORO,ALL_12_REFRIGERANTS,M0,0.5,702,0.10177098729729286,-1.7293868225555316
M1_LORO,ALL_12_REFRIGERANTS,Mreduced,1.0,1403,0.07202068361226689,0.0
M1_LORO,ALL_12_REFRIGERANTS,Mreduced,0.95,1333,0.06725728190622789,6.613935701698451
M1_LORO,ALL_12_REFRIGERANTS,Mreduced,0.9,1263,0.06632587445264952,7.907185649994863
M1_LORO,ALL_12_REFRIGERANTS,Mreduced,0.85,1193,0.06483774961624998,9.973432124981219
M1_LORO,ALL_12_REFRIGERANTS,Mreduced,0.8,1122,0.06337701336164425,12.001649827648137
M1_LORO,ALL_12_REFRIGERANTS,Mreduced,0.75,1052,0.06339952370329821,11.970394443048978
M1_LORO,ALL_12_REFRIGERANTS,Mreduced,0.7,982,0.06181238972066946,14.174114128873267
M1_LORO,ALL_12_REFRIGERANTS,Mreduced,0.6,842,0.057935823247471555,19.5566879656726
M1_LORO,ALL_12_REFRIGERANTS,Mreduced,0.5,702,0.05244387518156829,27.182203012808102
