dataset,split,mode,n_samples,seed_mean_mae_clipped,ensemble_mae_clipped,jensen_gain_pct,seed_mean_mae_raw,ensemble_mae_raw,notes
Split_B,B1,M0,513,0.030336440599852084,0.028719906397998974,5.328687775786696,0.030352022751374257,0.028704324246476794,Ensemble reduces MAE from 0.030336 to 0.028720 (5.33% gain)
Split_B,B1,Mreduced,513,0.03022480106750979,0.029218730483146035,3.3286259920010877,0.03022480106750979,0.029218730483146035,Ensemble reduces MAE from 0.030225 to 0.029219 (3.33% gain)
Split_B,B1,Mthermo,513,0.029986880478933893,0.028765866526386196,4.0718271892452185,0.029986880478933893,0.028765866526386196,Ensemble reduces MAE from 0.029987 to 0.028766 (4.07% gain)
Split_B,B2,M0,598,0.05327132059651331,0.05182022960372986,2.7239628688281927,0.05339661854756124,0.05182158370672828,Ensemble reduces MAE from 0.053271 to 0.051820 (2.72% gain)
Split_B,B2,Mreduced,598,0.047938253772702,0.04724851226528334,1.4388123328168105,0.04831009630131751,0.04760498725766329,Ensemble reduces MAE from 0.047938 to 0.047249 (1.44% gain)
Split_B,B2,Mthermo,598,0.05057840473318385,0.04982861919444597,1.4824222762525205,0.05104578756186083,0.05027621523029386,Ensemble reduces MAE from 0.050578 to 0.049829 (1.48% gain)
M1_LORO,loro_R245fa,M0,55,0.08952090374786743,0.08945476900786162,0.07387630959589306,0.10938503225587984,0.10931889751587397,"loro_R245fa M0: Seed-mean=0.0895, Ensemble=0.0895"
M1_LORO,loro_R236fa,M0,55,0.10845712321725756,0.10845712321725755,1.2795644394895992e-14,0.13330926091156217,0.13330926091156217,"loro_R236fa M0: Seed-mean=0.1085, Ensemble=0.1085"
M1_LORO,loro_R134,M0,92,0.18606160780738878,0.1731520884872779,6.938303646969901,0.19942657897380464,0.18054051410619412,"loro_R134 M0: Seed-mean=0.1861, Ensemble=0.1732"
M1_LORO,loro_R134a,M0,288,0.1590960324521196,0.15846147137918806,0.3988541154365371,0.16001387506508358,0.1592401539246364,"loro_R134a M0: Seed-mean=0.1591, Ensemble=0.1585"
M1_LORO,loro_R245fa,Mreduced,55,0.06282880191098561,0.058452202528715136,6.965912526027694,0.06282880191098561,0.058452202528715136,"loro_R245fa Mreduced: Seed-mean=0.0628, Ensemble=0.0585"
M1_LORO,loro_R236fa,Mreduced,55,0.04408065396953713,0.023198742128231305,47.372055450304146,0.04439933825622905,0.02288005784153939,"loro_R236fa Mreduced: Seed-mean=0.0441, Ensemble=0.0232"
M1_LORO,loro_R134,Mreduced,92,0.156355717966495,0.15466223186408373,1.0830982866735708,0.1632224233628696,0.16040923956315964,"loro_R134 Mreduced: Seed-mean=0.1564, Ensemble=0.1547"
M1_LORO,loro_R134a,Mreduced,288,0.08326780307721089,0.0821671038895147,1.3218785016767578,0.08326780307721089,0.0821671038895147,"loro_R134a Mreduced: Seed-mean=0.0833, Ensemble=0.0822"
