dataset,split,mode,n_samples,calibration_slope,calibration_intercept,calibration_R2,p_value,mean_rmse_over_sigma
Split_B,B1,M0,513,2.614965739881224,0.012325264862488323,0.8626852452686975,0.0001030616196671305,3.6754304942608256
Split_B,B1,Mreduced,513,3.888798043667467,0.0035859082057657643,0.9500640592311757,1.7353036316777493e-06,4.277749669183042
Split_B,B2,M0,598,2.4329053290334492,0.02551394270743694,0.8011905434898416,0.00046607507393058993,3.8248679020230796
Split_B,B2,Mreduced,598,4.203926276075816,0.013839610962071203,0.8721603417775277,7.709645663991648e-05,5.459938465617142
M1_LORO,ALL_12_REFRIGERANTS,M0,1403,0.10333421145513888,0.13332312445291072,0.024535862560441615,0.6656357163944471,2.4328213621315498
M1_LORO,ALL_12_REFRIGERANTS,Mreduced,1403,1.7452012171716795,0.04556008455219267,0.89028741190361,4.1485234967118746e-05,3.2114047460996615
